,0,1,2,3,4,5,6,7,8,9
0,985.0,309.0,443.0,246.0,44.0,21.0,5.0,3.0,8.0,286.0
1,547.0,1353.0,1432.0,488.0,74.0,25.0,31.0,20.0,16.0,35.0
2,813.0,2757.0,4237.0,1581.0,141.0,74.0,50.0,53.0,31.0,73.0
3,446.0,1622.0,4412.0,2726.0,455.0,66.0,41.0,33.0,19.0,48.0
4,252.0,817.0,1752.0,1959.0,1033.0,93.0,31.0,17.0,12.0,22.0
5,58.0,424.0,960.0,911.0,678.0,167.0,45.0,30.0,28.0,48.0
6,30.0,205.0,642.0,981.0,636.0,144.0,31.0,23.0,13.0,67.0
7,39.0,131.0,428.0,891.0,944.0,244.0,33.0,6.0,0.0,19.0
8,25.0,183.0,447.0,1117.0,1360.0,519.0,60.0,13.0,6.0,7.0
9,6.0,71.0,235.0,549.0,938.0,825.0,44.0,0.0,0.0,2.0
