,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,904.0,19.0,52.0,103.0,103.0,87.0,63.0,62.0,42.0,17.0,14.0,9.0,9.0,14.0,10.0,31.0,14.0,18.0,10.0,147.0
1,34.0,44.0,107.0,135.0,77.0,49.0,33.0,28.0,21.0,15.0,4.0,3.0,5.0,0.0,0.0,19.0,15.0,20.0,12.0,1.0
2,63.0,137.0,229.0,287.0,142.0,94.0,64.0,51.0,35.0,30.0,16.0,18.0,12.0,12.0,12.0,22.0,22.0,22.0,22.0,4.0
3,63.0,194.0,517.0,645.0,451.0,256.0,143.0,82.0,69.0,51.0,53.0,39.0,31.0,31.0,18.0,24.0,8.0,18.0,21.0,13.0
4,84.0,363.0,774.0,995.0,743.0,399.0,222.0,158.0,87.0,74.0,60.0,46.0,38.0,22.0,21.0,20.0,18.0,10.0,13.0,23.0
5,163.0,460.0,1054.0,1301.0,1068.0,628.0,263.0,177.0,115.0,56.0,81.0,62.0,45.0,37.0,20.0,34.0,22.0,16.0,18.0,20.0
6,135.0,485.0,917.0,1257.0,906.0,657.0,373.0,235.0,135.0,104.0,74.0,43.0,54.0,25.0,32.0,16.0,16.0,8.0,8.0,15.0
7,88.0,307.0,734.0,907.0,648.0,512.0,346.0,267.0,155.0,110.0,70.0,59.0,54.0,42.0,17.0,12.0,16.0,6.0,9.0,14.0
8,39.0,179.0,442.0,709.0,594.0,456.0,264.0,178.0,134.0,86.0,60.0,33.0,51.0,26.0,19.0,22.0,11.0,25.0,14.0,18.0
9,21.0,59.0,255.0,430.0,501.0,418.0,225.0,136.0,139.0,105.0,84.0,48.0,26.0,49.0,31.0,28.0,26.0,21.0,14.0,12.0
10,21.0,37.0,135.0,299.0,328.0,291.0,175.0,105.0,93.0,88.0,47.0,53.0,44.0,33.0,26.0,50.0,17.0,25.0,14.0,12.0
11,40.0,38.0,82.0,130.0,216.0,195.0,107.0,98.0,78.0,69.0,67.0,63.0,56.0,43.0,52.0,29.0,44.0,9.0,16.0,24.0
12,31.0,41.0,59.0,174.0,234.0,120.0,111.0,124.0,141.0,67.0,35.0,35.0,32.0,43.0,24.0,38.0,37.0,29.0,25.0,37.0
13,21.0,38.0,62.0,103.0,135.0,183.0,135.0,195.0,153.0,46.0,22.0,30.0,22.0,24.0,29.0,37.0,17.0,27.0,11.0,45.0
14,19.0,18.0,29.0,50.0,97.0,142.0,130.0,150.0,130.0,83.0,61.0,37.0,35.0,24.0,23.0,17.0,15.0,15.0,22.0,24.0
15,14.0,2.0,18.0,36.0,144.0,208.0,173.0,204.0,185.0,196.0,119.0,78.0,70.0,37.0,31.0,21.0,15.0,25.0,11.0,27.0
16,2.0,8.0,6.0,31.0,164.0,192.0,193.0,197.0,267.0,260.0,166.0,81.0,76.0,68.0,36.0,23.0,26.0,42.0,30.0,82.0
17,6.0,13.0,11.0,31.0,100.0,154.0,182.0,124.0,229.0,282.0,180.0,98.0,64.0,65.0,50.0,41.0,28.0,19.0,32.0,78.0
18,2.0,6.0,5.0,8.0,75.0,82.0,111.0,92.0,162.0,332.0,173.0,146.0,103.0,43.0,42.0,33.0,25.0,21.0,11.0,29.0
19,1.0,0.0,2.0,5.0,28.0,74.0,59.0,67.0,110.0,228.0,268.0,170.0,80.0,33.0,12.0,6.0,10.0,8.0,2.0,6.0
