,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1152.0,77.0,59.0,121.0,89.0,38.0,39.0,30.0,18.0,9.0,9.0,7.0,4.0,4.0,0.0,2.0,11.0,23.0,28.0,8.0
1,180.0,77.0,79.0,84.0,42.0,14.0,24.0,13.0,5.0,4.0,8.0,6.0,4.0,6.0,7.0,5.0,0.0,12.0,39.0,13.0
2,451.0,136.0,135.0,126.0,103.0,44.0,38.0,15.0,27.0,21.0,32.0,12.0,12.0,10.0,12.0,18.0,29.0,48.0,17.0,8.0
3,1025.0,371.0,202.0,268.0,244.0,92.0,77.0,58.0,46.0,41.0,41.0,43.0,32.0,24.0,29.0,40.0,20.0,38.0,12.0,24.0
4,1519.0,662.0,421.0,400.0,379.0,133.0,100.0,107.0,68.0,44.0,52.0,34.0,41.0,46.0,28.0,34.0,28.0,16.0,18.0,40.0
5,2044.0,878.0,564.0,619.0,524.0,226.0,158.0,100.0,53.0,73.0,53.0,44.0,53.0,37.0,26.0,38.0,28.0,39.0,27.0,56.0
6,1790.0,837.0,515.0,581.0,711.0,308.0,138.0,90.0,95.0,61.0,58.0,65.0,39.0,41.0,24.0,30.0,33.0,23.0,29.0,27.0
7,1106.0,586.0,386.0,525.0,728.0,307.0,166.0,122.0,69.0,58.0,37.0,56.0,40.0,25.0,38.0,17.0,28.0,21.0,30.0,28.0
8,518.0,217.0,315.0,424.0,888.0,364.0,139.0,109.0,56.0,51.0,37.0,21.0,38.0,27.0,19.0,22.0,34.0,15.0,26.0,40.0
9,106.0,81.0,182.0,290.0,762.0,506.0,175.0,98.0,87.0,60.0,37.0,54.0,43.0,14.0,19.0,18.0,24.0,30.0,14.0,28.0
10,12.0,39.0,64.0,120.0,606.0,508.0,152.0,89.0,57.0,50.0,46.0,27.0,29.0,13.0,14.0,12.0,10.0,11.0,16.0,18.0
11,0.0,10.0,10.0,29.0,419.0,478.0,148.0,69.0,42.0,42.0,41.0,20.0,27.0,24.0,24.0,16.0,6.0,18.0,23.0,10.0
12,0.0,2.0,0.0,7.0,345.0,608.0,176.0,54.0,31.0,32.0,30.0,22.0,16.0,20.0,10.0,17.0,17.0,12.0,15.0,23.0
13,2.0,0.0,0.0,2.0,227.0,724.0,179.0,48.0,23.0,25.0,30.0,15.0,4.0,8.0,13.0,3.0,4.0,2.0,7.0,19.0
14,0.0,0.0,0.0,0.0,106.0,583.0,185.0,61.0,33.0,42.0,23.0,10.0,15.0,1.0,6.0,8.0,3.0,8.0,9.0,28.0
15,0.0,0.0,0.0,0.0,57.0,803.0,332.0,126.0,69.0,41.0,40.0,23.0,24.0,3.0,6.0,9.0,21.0,22.0,12.0,26.0
16,0.0,0.0,0.0,1.0,71.0,756.0,554.0,232.0,52.0,42.0,38.0,22.0,25.0,13.0,20.0,17.0,12.0,29.0,16.0,50.0
17,0.0,0.0,0.0,0.0,107.0,479.0,675.0,235.0,43.0,31.0,29.0,23.0,19.0,19.0,7.0,20.0,19.0,18.0,12.0,51.0
18,0.0,0.0,0.0,2.0,68.0,305.0,764.0,156.0,39.0,38.0,17.0,20.0,17.0,17.0,20.0,10.0,13.0,3.0,4.0,8.0
19,0.0,0.0,0.0,0.0,38.0,189.0,703.0,118.0,23.0,21.0,25.0,11.0,12.0,9.0,11.0,2.0,5.0,0.0,0.0,2.0
