,0,1,2,3,4,5,6,7,8,9
0,1295.0,223.0,290.0,166.0,104.0,72.0,45.0,67.0,82.0,6.0
1,1084.0,1060.0,646.0,535.0,283.0,101.0,104.0,98.0,94.0,16.0
2,2473.0,2781.0,1856.0,1305.0,658.0,288.0,174.0,107.0,113.0,55.0
3,1564.0,2464.0,2048.0,2032.0,1056.0,280.0,174.0,110.0,62.0,78.0
4,245.0,494.0,855.0,1811.0,1574.0,533.0,226.0,98.0,60.0,92.0
5,2.0,33.0,144.0,640.0,1459.0,603.0,261.0,112.0,62.0,33.0
6,0.0,0.0,27.0,403.0,1119.0,716.0,301.0,121.0,58.0,27.0
7,0.0,0.0,5.0,194.0,513.0,1197.0,546.0,136.0,53.0,91.0
8,0.0,0.0,0.0,88.0,422.0,1523.0,1098.0,271.0,123.0,212.0
9,0.0,0.0,0.0,2.0,118.0,1120.0,1022.0,221.0,115.0,72.0
