,0,1,2,3,4,5,6,7,8,9
0,2492.0,692.0,10.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
1,5712.0,1881.0,96.0,60.0,36.0,8.0,8.0,21.0,28.0,22.0
2,8079.0,4853.0,684.0,345.0,230.0,155.0,172.0,140.0,156.0,174.0
3,2697.0,4675.0,989.0,643.0,476.0,392.0,346.0,334.0,413.0,484.0
4,462.0,3898.0,715.0,247.0,173.0,135.0,178.0,181.0,130.0,184.0
5,37.0,1333.0,529.0,111.0,56.0,28.0,18.0,17.0,19.0,30.0
6,0.0,196.0,157.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0
7,2.0,102.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,49.0,81.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
9,284.0,68.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
