,0,1,2,3,4,5,6,7,8,9
0,795.0,9.0,0.0,5.0,11.0,16.0,155.0,946.0,931.0,333.0
1,28.0,35.0,84.0,128.0,190.0,350.0,1069.0,2951.0,2309.0,728.0
2,165.0,189.0,390.0,658.0,1152.0,1669.0,2807.0,4676.0,2801.0,481.0
3,250.0,278.0,375.0,627.0,1069.0,1706.0,2465.0,2944.0,1373.0,362.0
4,98.0,166.0,200.0,316.0,621.0,1072.0,1574.0,1226.0,731.0,299.0
5,39.0,39.0,37.0,145.0,173.0,362.0,534.0,426.0,293.0,130.0
6,0.0,2.0,5.0,7.0,16.0,13.0,44.0,57.0,125.0,102.0
7,0.0,0.0,1.0,0.0,2.0,2.0,3.0,20.0,92.0,78.0
8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,56.0,58.0
9,282.0,0.0,0.0,0.0,4.0,1.0,0.0,32.0,121.0,167.0
