,0,1,2,3,4,5,6,7,8,9
0,2088.0,181.0,73.0,88.0,127.0,119.0,137.0,128.0,150.0,110.0
1,4251.0,345.0,303.0,275.0,378.0,441.0,568.0,569.0,460.0,282.0
2,6798.0,584.0,724.0,631.0,752.0,926.0,1566.0,1782.0,851.0,374.0
3,3304.0,508.0,477.0,465.0,679.0,1018.0,1919.0,1887.0,944.0,248.0
4,879.0,244.0,155.0,164.0,297.0,1032.0,1326.0,1374.0,750.0,82.0
5,178.0,45.0,30.0,26.0,109.0,423.0,651.0,431.0,263.0,22.0
6,158.0,23.0,8.0,6.0,18.0,60.0,53.0,32.0,13.0,0.0
7,135.0,13.0,11.0,8.0,8.0,8.0,10.0,3.0,2.0,0.0
8,109.0,6.0,7.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0
9,520.0,33.0,25.0,6.0,13.0,2.0,8.0,0.0,0.0,0.0
