,0,1,2,3,4,5,6,7,8,9
0,805.0,645.0,840.0,457.0,223.0,68.0,15.0,17.0,5.0,126.0
1,573.0,2311.0,2580.0,1392.0,651.0,198.0,97.0,41.0,17.0,12.0
2,610.0,3855.0,5530.0,2833.0,1270.0,465.0,222.0,117.0,60.0,26.0
3,88.0,1307.0,3042.0,3089.0,1802.0,958.0,488.0,256.0,195.0,224.0
4,10.0,112.0,632.0,1247.0,1368.0,1667.0,561.0,278.0,190.0,238.0
5,8.0,10.0,45.0,125.0,267.0,623.0,551.0,254.0,136.0,159.0
6,2.0,16.0,29.0,47.0,73.0,57.0,48.0,51.0,19.0,29.0
7,0.0,6.0,29.0,40.0,81.0,32.0,9.0,0.0,1.0,0.0
8,0.0,2.0,9.0,29.0,48.0,38.0,7.0,0.0,0.0,0.0
9,284.0,3.0,16.0,30.0,147.0,97.0,24.0,6.0,0.0,0.0
