,0,1,2,3,4,5,6,7,8,9
0,1465.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,64.0
1,386.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,659.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
3,1109.0,19.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
4,1647.0,43.0,26.0,18.0,1.0,4.0,2.0,0.0,0.0,0.0
5,2809.0,57.0,54.0,32.0,27.0,13.0,14.0,2.0,2.0,0.0
6,4354.0,147.0,119.0,112.0,102.0,49.0,54.0,36.0,18.0,4.0
7,7491.0,408.0,436.0,377.0,352.0,306.0,183.0,113.0,54.0,47.0
8,13675.0,498.0,492.0,509.0,489.0,397.0,315.0,237.0,181.0,224.0
9,6721.0,55.0,39.0,46.0,40.0,19.0,17.0,17.0,5.0,45.0
