,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1099.0,13.0,5.0,51.0,76.0,61.0,75.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,23.0
1,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,158.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,222.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,268.0,6.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,358.0,5.0,7.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,497.0,10.0,9.0,11.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,544.0,25.0,9.0,10.0,5.0,6.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,699.0,32.0,10.0,12.0,12.0,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,832.0,38.0,23.0,20.0,14.0,13.0,5.0,4.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1177.0,52.0,36.0,22.0,12.0,12.0,11.0,8.0,8.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11,1346.0,72.0,65.0,57.0,33.0,28.0,23.0,6.0,15.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1805.0,83.0,64.0,69.0,46.0,63.0,40.0,36.0,25.0,16.0,11.0,10.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
13,2097.0,114.0,90.0,101.0,80.0,70.0,57.0,41.0,26.0,12.0,13.0,13.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
14,2693.0,162.0,163.0,183.0,157.0,132.0,107.0,63.0,60.0,54.0,26.0,15.0,18.0,14.0,2.0,2.0,2.0,0.0,0.0,0.0
15,3537.0,351.0,290.0,306.0,253.0,245.0,182.0,145.0,123.0,121.0,94.0,79.0,58.0,28.0,47.0,12.0,12.0,10.0,6.0,15.0
16,3840.0,546.0,575.0,453.0,527.0,505.0,433.0,367.0,382.0,275.0,251.0,176.0,154.0,104.0,98.0,83.0,41.0,23.0,28.0,56.0
17,2883.0,379.0,448.0,450.0,485.0,503.0,481.0,474.0,416.0,324.0,281.0,249.0,182.0,148.0,129.0,83.0,49.0,52.0,39.0,45.0
18,1177.0,157.0,210.0,250.0,204.0,276.0,278.0,301.0,272.0,233.0,249.0,223.0,175.0,183.0,202.0,161.0,144.0,96.0,72.0,118.0
19,304.0,54.0,68.0,80.0,66.0,96.0,82.0,107.0,107.0,103.0,142.0,110.0,101.0,108.0,96.0,85.0,80.0,61.0,55.0,118.0
