,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1330.0,62.0,18.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,74.0,38.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110.0,38.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,147.0,49.0,16.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,142.0,79.0,45.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,231.0,81.0,58.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,229.0,167.0,84.0,44.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,253.0,192.0,82.0,57.0,8.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,296.0,208.0,144.0,83.0,37.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,247.0,309.0,219.0,118.0,48.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,218.0,460.0,359.0,178.0,86.0,25.0,12.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,148.0,652.0,454.0,227.0,115.0,35.0,11.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,119.0,960.0,610.0,306.0,215.0,29.0,13.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,134.0,1156.0,792.0,363.0,178.0,48.0,16.0,13.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,102.0,1737.0,997.0,618.0,221.0,42.0,39.0,37.0,22.0,14.0,10.0,6.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
15,209.0,2696.0,1486.0,723.0,254.0,99.0,90.0,65.0,50.0,42.0,34.0,19.0,23.0,14.0,17.0,19.0,25.0,19.0,22.0,8.0
16,199.0,3797.0,2395.0,1101.0,322.0,167.0,110.0,120.0,109.0,94.0,81.0,55.0,67.0,54.0,37.0,40.0,36.0,39.0,43.0,51.0
17,44.0,2350.0,2377.0,1194.0,451.0,159.0,167.0,147.0,110.0,93.0,118.0,104.0,94.0,106.0,84.0,86.0,99.0,81.0,123.0,113.0
18,0.0,493.0,1022.0,1019.0,440.0,229.0,183.0,162.0,119.0,105.0,64.0,69.0,101.0,124.0,111.0,149.0,148.0,125.0,107.0,211.0
19,0.0,9.0,68.0,423.0,236.0,91.0,109.0,79.0,99.0,77.0,80.0,77.0,74.0,65.0,72.0,78.0,81.0,89.0,76.0,140.0
