,0,1,2,3,4,5,6,7,8,9
0,906.0,29.0,87.0,143.0,120.0,82.0,27.0,17.0,8.0,130.0
1,0.0,68.0,127.0,57.0,43.0,41.0,22.0,12.0,10.0,14.0
2,10.0,175.0,138.0,121.0,74.0,44.0,26.0,39.0,30.0,14.0
3,26.0,277.0,245.0,171.0,147.0,66.0,47.0,69.0,71.0,33.0
4,31.0,415.0,370.0,206.0,174.0,124.0,105.0,105.0,96.0,115.0
5,76.0,668.0,560.0,392.0,374.0,277.0,225.0,147.0,121.0,170.0
6,216.0,1288.0,966.0,696.0,636.0,347.0,234.0,178.0,172.0,262.0
7,1025.0,3354.0,2039.0,1169.0,940.0,514.0,274.0,180.0,125.0,147.0
8,1681.0,5630.0,5315.0,1889.0,1284.0,665.0,276.0,126.0,104.0,47.0
9,228.0,1222.0,2104.0,1258.0,987.0,645.0,342.0,155.0,49.0,14.0
