,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1054.0,11.0,68.0,19.0,17.0,47.0,32.0,25.0,32.0,28.0,26.0,8.0,15.0,15.0,6.0,6.0,7.0,5.0,0.0,6.0
1,0.0,5.0,26.0,13.0,2.0,2.0,18.0,9.0,11.0,7.0,10.0,7.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0
2,0.0,12.0,23.0,12.0,7.0,20.0,12.0,19.0,6.0,6.0,13.0,4.0,8.0,7.0,2.0,6.0,2.0,0.0,1.0,5.0
3,0.0,40.0,26.0,11.0,18.0,10.0,12.0,16.0,10.0,20.0,15.0,10.0,2.0,4.0,8.0,5.0,2.0,3.0,8.0,9.0
4,0.0,44.0,50.0,21.0,16.0,8.0,14.0,16.0,12.0,11.0,19.0,13.0,11.0,4.0,6.0,7.0,6.0,14.0,7.0,8.0
5,0.0,122.0,55.0,28.0,28.0,19.0,21.0,9.0,15.0,13.0,8.0,14.0,11.0,10.0,4.0,3.0,5.0,2.0,15.0,2.0
6,0.0,96.0,127.0,41.0,33.0,16.0,21.0,16.0,16.0,25.0,16.0,20.0,21.0,15.0,10.0,13.0,10.0,13.0,10.0,24.0
7,0.0,108.0,146.0,82.0,32.0,14.0,19.0,17.0,19.0,31.0,15.0,20.0,18.0,10.0,17.0,11.0,16.0,9.0,2.0,23.0
8,0.0,163.0,203.0,86.0,27.0,31.0,22.0,13.0,22.0,22.0,23.0,18.0,4.0,10.0,10.0,11.0,21.0,11.0,26.0,55.0
9,0.0,220.0,261.0,77.0,38.0,27.0,29.0,21.0,22.0,26.0,17.0,14.0,12.0,14.0,15.0,10.0,19.0,25.0,37.0,79.0
10,0.0,272.0,379.0,107.0,69.0,39.0,57.0,31.0,32.0,25.0,33.0,19.0,13.0,30.0,31.0,34.0,26.0,40.0,40.0,73.0
11,0.0,409.0,549.0,122.0,78.0,56.0,28.0,31.0,20.0,25.0,37.0,25.0,31.0,33.0,20.0,28.0,18.0,33.0,58.0,59.0
12,0.0,607.0,718.0,150.0,79.0,43.0,39.0,58.0,42.0,29.0,36.0,34.0,33.0,61.0,50.0,48.0,44.0,50.0,75.0,78.0
13,9.0,817.0,920.0,184.0,106.0,78.0,70.0,73.0,59.0,49.0,32.0,49.0,53.0,22.0,22.0,25.0,35.0,29.0,36.0,53.0
14,34.0,1570.0,1239.0,252.0,152.0,77.0,60.0,46.0,52.0,58.0,47.0,41.0,29.0,33.0,46.0,46.0,20.0,20.0,20.0,11.0
15,205.0,3037.0,1502.0,371.0,194.0,74.0,93.0,92.0,52.0,48.0,40.0,52.0,40.0,54.0,18.0,19.0,16.0,1.0,4.0,2.0
16,688.0,4771.0,2307.0,382.0,146.0,142.0,112.0,87.0,69.0,47.0,54.0,34.0,36.0,14.0,11.0,9.0,4.0,4.0,0.0,0.0
17,736.0,3889.0,2386.0,463.0,219.0,163.0,101.0,54.0,26.0,25.0,18.0,9.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
18,620.0,1787.0,1779.0,462.0,177.0,95.0,25.0,18.0,9.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,297.0,518.0,790.0,334.0,74.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
