,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,779.0,200.0,118.0,36.0,43.0,49.0,47.0,32.0,28.0,29.0,26.0,7.0,0.0,0.0,7.0,2.0,3.0,18.0,1.0,2.0
1,11.0,6.0,8.0,3.0,11.0,15.0,14.0,12.0,12.0,5.0,2.0,12.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2,5.0,4.0,14.0,14.0,8.0,33.0,15.0,19.0,7.0,16.0,15.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,14.0,13.0,14.0,19.0,23.0,11.0,28.0,27.0,17.0,20.0,8.0,12.0,7.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0
4,17.0,8.0,18.0,17.0,24.0,27.0,20.0,21.0,38.0,12.0,32.0,22.0,26.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
5,23.0,8.0,15.0,16.0,31.0,40.0,48.0,33.0,38.0,35.0,23.0,31.0,24.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0
6,41.0,18.0,11.0,22.0,30.0,39.0,46.0,49.0,53.0,62.0,39.0,47.0,41.0,24.0,13.0,4.0,2.0,0.0,2.0,0.0
7,28.0,21.0,17.0,30.0,24.0,18.0,41.0,49.0,69.0,70.0,68.0,46.0,51.0,34.0,24.0,17.0,2.0,0.0,0.0,0.0
8,75.0,17.0,31.0,20.0,34.0,39.0,37.0,45.0,54.0,80.0,72.0,69.0,62.0,82.0,32.0,27.0,2.0,0.0,0.0,0.0
9,66.0,43.0,35.0,39.0,41.0,41.0,43.0,68.0,56.0,65.0,82.0,90.0,108.0,78.0,57.0,41.0,8.0,0.0,2.0,0.0
10,74.0,45.0,33.0,48.0,65.0,69.0,68.0,84.0,68.0,92.0,101.0,145.0,134.0,129.0,93.0,78.0,24.0,0.0,0.0,0.0
11,61.0,31.0,44.0,57.0,53.0,53.0,71.0,130.0,84.0,103.0,109.0,122.0,200.0,209.0,176.0,89.0,55.0,12.0,1.0,0.0
12,82.0,68.0,46.0,62.0,77.0,77.0,93.0,96.0,146.0,127.0,164.0,163.0,206.0,263.0,283.0,205.0,81.0,35.0,0.0,0.0
13,56.0,25.0,68.0,37.0,46.0,68.0,73.0,120.0,162.0,127.0,188.0,214.0,280.0,367.0,389.0,253.0,198.0,49.0,1.0,0.0
14,30.0,24.0,31.0,28.0,45.0,55.0,87.0,95.0,131.0,128.0,179.0,299.0,404.0,565.0,633.0,630.0,373.0,104.0,10.0,2.0
15,0.0,0.0,11.0,8.0,19.0,30.0,42.0,59.0,78.0,120.0,199.0,270.0,486.0,666.0,937.0,1204.0,1155.0,394.0,144.0,92.0
16,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,37.0,55.0,88.0,170.0,323.0,644.0,1092.0,1820.0,2803.0,1222.0,406.0,231.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,19.0,49.0,93.0,197.0,472.0,1225.0,2897.0,1904.0,846.0,392.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,25.0,68.0,365.0,1351.0,1560.0,1170.0,431.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,402.0,746.0,661.0,208.0
