,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2464.0,3946.0,4055.0,1024.0,207.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,120.0,802.0,2118.0,2216.0,1265.0,488.0,234.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27.0,96.0,486.0,1012.0,1273.0,1647.0,1401.0,785.0,203.0,33.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21.0,40.0,134.0,340.0,416.0,505.0,830.0,1061.0,1322.0,1214.0,517.0,43.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10.0,20.0,76.0,157.0,245.0,302.0,311.0,223.0,249.0,521.0,763.0,633.0,225.0,43.0,8.0,0.0,0.0,0.0,0.0,0.0
5,12.0,22.0,44.0,96.0,141.0,203.0,201.0,234.0,165.0,155.0,83.0,188.0,184.0,213.0,196.0,65.0,11.0,2.0,0.0,0.0
6,10.0,6.0,13.0,73.0,79.0,138.0,150.0,177.0,170.0,123.0,72.0,44.0,24.0,26.0,20.0,21.0,4.0,9.0,0.0,0.0
7,8.0,6.0,22.0,30.0,73.0,70.0,106.0,152.0,176.0,122.0,103.0,51.0,31.0,25.0,8.0,6.0,6.0,1.0,0.0,0.0
8,0.0,2.0,11.0,33.0,51.0,54.0,88.0,117.0,148.0,125.0,99.0,48.0,42.0,26.0,4.0,1.0,0.0,0.0,0.0,0.0
9,4.0,0.0,12.0,13.0,24.0,33.0,59.0,85.0,158.0,122.0,85.0,83.0,57.0,32.0,17.0,0.0,2.0,0.0,0.0,0.0
10,8.0,0.0,5.0,8.0,13.0,28.0,37.0,78.0,105.0,112.0,102.0,57.0,50.0,32.0,27.0,4.0,2.0,2.0,0.0,0.0
11,0.0,0.0,4.0,6.0,2.0,17.0,32.0,67.0,64.0,85.0,111.0,68.0,47.0,41.0,18.0,17.0,12.0,2.0,1.0,4.0
12,0.0,0.0,0.0,2.0,4.0,7.0,10.0,26.0,47.0,64.0,79.0,86.0,56.0,45.0,24.0,12.0,10.0,3.0,2.0,2.0
13,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,23.0,51.0,85.0,92.0,55.0,69.0,50.0,23.0,6.0,6.0,2.0,3.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,30.0,35.0,79.0,88.0,75.0,59.0,58.0,22.0,4.0,10.0,9.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,30.0,41.0,78.0,124.0,83.0,79.0,29.0,6.0,5.0,6.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,72.0,111.0,103.0,53.0,10.0,6.0,8.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,21.0,49.0,110.0,112.0,70.0,16.0,28.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,105.0,193.0,79.0,38.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,154.0,345.0
