,0,1,2,3,4,5,6,7,8,9
0,13286.0,1567.0,1498.0,1121.0,732.0,446.0,189.0,127.0,44.0,22.0
1,8579.0,1496.0,1223.0,862.0,584.0,327.0,150.0,116.0,52.0,43.0
2,3886.0,472.0,494.0,470.0,280.0,197.0,78.0,53.0,34.0,37.0
3,883.0,216.0,218.0,210.0,197.0,186.0,120.0,81.0,20.0,24.0
4,502.0,135.0,131.0,162.0,146.0,160.0,172.0,145.0,46.0,36.0
5,348.0,94.0,130.0,125.0,121.0,100.0,92.0,121.0,74.0,63.0
6,194.0,101.0,100.0,84.0,108.0,94.0,78.0,66.0,73.0,64.0
7,68.0,66.0,121.0,144.0,147.0,145.0,96.0,67.0,58.0,59.0
8,14.0,26.0,73.0,111.0,149.0,130.0,124.0,74.0,56.0,65.0
9,0.0,2.0,20.0,58.0,125.0,190.0,182.0,162.0,121.0,162.0
