,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,969.0,415.0,1399.0,2454.0,2434.0,1651.0,1068.0,628.0,299.0,150.0,118.0,41.0,21.0,4.0,4.0,8.0,0.0,0.0,0.0,72.0
1,132.0,256.0,583.0,1297.0,1507.0,1400.0,855.0,473.0,308.0,202.0,132.0,86.0,41.0,13.0,2.0,0.0,0.0,0.0,0.0,10.0
2,104.0,107.0,314.0,655.0,1018.0,1161.0,1049.0,1022.0,782.0,372.0,162.0,74.0,43.0,41.0,19.0,18.0,10.0,4.0,5.0,19.0
3,65.0,56.0,156.0,324.0,461.0,530.0,574.0,587.0,684.0,782.0,1027.0,626.0,314.0,116.0,73.0,27.0,19.0,12.0,14.0,6.0
4,38.0,50.0,122.0,192.0,288.0,371.0,322.0,258.0,299.0,329.0,331.0,362.0,268.0,211.0,137.0,91.0,52.0,22.0,20.0,23.0
5,62.0,26.0,73.0,185.0,250.0,248.0,235.0,148.0,162.0,118.0,157.0,122.0,70.0,54.0,53.0,38.0,46.0,55.0,44.0,69.0
6,21.0,19.0,35.0,121.0,137.0,181.0,158.0,131.0,68.0,41.0,34.0,37.0,33.0,22.0,22.0,29.0,19.0,11.0,22.0,18.0
7,10.0,10.0,31.0,91.0,125.0,147.0,177.0,98.0,76.0,36.0,33.0,26.0,29.0,34.0,25.0,8.0,6.0,5.0,8.0,21.0
8,0.0,13.0,11.0,64.0,107.0,109.0,144.0,104.0,83.0,47.0,30.0,36.0,33.0,29.0,9.0,4.0,5.0,8.0,5.0,8.0
9,4.0,2.0,20.0,52.0,72.0,128.0,103.0,113.0,80.0,60.0,21.0,39.0,25.0,28.0,12.0,7.0,9.0,4.0,3.0,4.0
10,8.0,4.0,8.0,26.0,63.0,52.0,134.0,77.0,90.0,63.0,32.0,30.0,20.0,11.0,10.0,12.0,4.0,8.0,10.0,8.0
11,4.0,3.0,4.0,15.0,39.0,72.0,105.0,78.0,69.0,52.0,33.0,30.0,29.0,18.0,4.0,10.0,15.0,6.0,7.0,5.0
12,0.0,2.0,4.0,13.0,17.0,52.0,69.0,67.0,64.0,23.0,37.0,41.0,27.0,24.0,10.0,5.0,10.0,3.0,0.0,11.0
13,0.0,0.0,4.0,6.0,18.0,46.0,67.0,62.0,60.0,52.0,31.0,43.0,28.0,20.0,6.0,10.0,8.0,2.0,5.0,15.0
14,0.0,0.0,0.0,6.0,8.0,26.0,60.0,65.0,79.0,38.0,51.0,36.0,27.0,16.0,17.0,12.0,9.0,8.0,4.0,18.0
15,0.0,0.0,0.0,2.0,5.0,17.0,59.0,74.0,53.0,65.0,48.0,33.0,16.0,26.0,29.0,26.0,12.0,8.0,5.0,13.0
16,0.0,0.0,0.0,0.0,0.0,10.0,33.0,51.0,49.0,48.0,34.0,41.0,41.0,33.0,15.0,31.0,14.0,4.0,0.0,6.0
17,0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,36.0,47.0,56.0,32.0,45.0,39.0,32.0,24.0,20.0,16.0,14.0,16.0
18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,22.0,26.0,26.0,31.0,46.0,49.0,40.0,47.0,47.0,25.0,44.0,36.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,22.0,22.0,26.0,52.0,56.0,38.0,58.0,59.0,60.0,166.0
