,0,1,2,3,4,5,6,7,8,9
0,5120.0,2209.0,6.0,11.0,0.0,0.0,0.0,0.0,8.0,270.0
1,5282.0,6598.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2040.0,4898.0,342.0,25.0,9.0,4.0,4.0,3.0,0.0,0.0
3,1144.0,4267.0,966.0,99.0,37.0,12.0,6.0,0.0,2.0,2.0
4,821.0,1985.0,2476.0,196.0,84.0,28.0,8.0,4.0,0.0,6.0
5,411.0,981.0,1674.0,417.0,119.0,61.0,30.0,7.0,4.0,3.0
6,256.0,656.0,442.0,195.0,107.0,64.0,59.0,27.0,20.0,4.0
7,215.0,302.0,220.0,169.0,69.0,81.0,51.0,45.0,24.0,29.0
8,61.0,107.0,118.0,77.0,55.0,49.0,71.0,68.0,61.0,91.0
9,27.0,50.0,82.0,35.0,28.0,46.0,56.0,76.0,61.0,257.0
