,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1065.0,4.0,21.0,18.0,13.0,21.0,13.0,26.0,41.0,53.0,58.0,82.0,75.0,145.0,251.0,528.0,216.0,42.0,10.0,2.0
1,4.0,2.0,10.0,25.0,60.0,36.0,68.0,97.0,113.0,179.0,208.0,308.0,468.0,723.0,1003.0,1076.0,434.0,66.0,54.0,6.0
2,40.0,22.0,25.0,51.0,50.0,68.0,98.0,97.0,120.0,192.0,256.0,418.0,562.0,911.0,1397.0,1553.0,817.0,232.0,60.0,11.0
3,43.0,25.0,22.0,33.0,49.0,45.0,68.0,104.0,135.0,147.0,149.0,203.0,310.0,488.0,727.0,988.0,907.0,448.0,103.0,16.0
4,15.0,20.0,20.0,22.0,32.0,58.0,60.0,67.0,132.0,108.0,158.0,172.0,210.0,368.0,476.0,564.0,690.0,432.0,149.0,40.0
5,97.0,35.0,38.0,55.0,56.0,63.0,72.0,132.0,127.0,113.0,182.0,201.0,262.0,303.0,368.0,389.0,401.0,370.0,219.0,49.0
6,84.0,31.0,66.0,45.0,53.0,78.0,72.0,66.0,97.0,98.0,147.0,216.0,262.0,329.0,331.0,410.0,454.0,348.0,181.0,99.0
7,31.0,14.0,17.0,36.0,33.0,41.0,50.0,79.0,97.0,121.0,120.0,171.0,222.0,268.0,307.0,348.0,377.0,350.0,290.0,96.0
8,11.0,20.0,33.0,25.0,15.0,25.0,51.0,75.0,118.0,146.0,190.0,183.0,234.0,293.0,257.0,269.0,309.0,218.0,235.0,138.0
9,20.0,6.0,21.0,45.0,28.0,44.0,47.0,76.0,82.0,119.0,173.0,242.0,200.0,302.0,301.0,328.0,213.0,211.0,151.0,154.0
10,23.0,15.0,2.0,16.0,26.0,29.0,26.0,60.0,108.0,117.0,176.0,169.0,151.0,281.0,239.0,265.0,211.0,75.0,87.0,102.0
11,6.0,2.0,12.0,17.0,15.0,15.0,26.0,32.0,42.0,55.0,100.0,107.0,109.0,154.0,175.0,178.0,230.0,71.0,65.0,118.0
12,2.0,2.0,4.0,5.0,2.0,8.0,10.0,21.0,30.0,46.0,51.0,63.0,75.0,99.0,104.0,74.0,157.0,57.0,57.0,115.0
13,6.0,0.0,0.0,2.0,13.0,7.0,18.0,18.0,37.0,48.0,59.0,58.0,67.0,122.0,70.0,74.0,70.0,121.0,35.0,23.0
14,2.0,0.0,0.0,2.0,4.0,7.0,14.0,41.0,42.0,49.0,48.0,45.0,55.0,72.0,43.0,24.0,56.0,120.0,49.0,3.0
15,4.0,0.0,2.0,1.0,13.0,9.0,16.0,24.0,52.0,38.0,54.0,67.0,65.0,47.0,34.0,21.0,26.0,37.0,11.0,8.0
16,2.0,0.0,2.0,11.0,11.0,20.0,16.0,23.0,32.0,41.0,30.0,42.0,50.0,41.0,22.0,19.0,15.0,4.0,0.0,0.0
17,0.0,0.0,4.0,6.0,8.0,16.0,16.0,29.0,31.0,28.0,53.0,39.0,50.0,42.0,21.0,10.0,19.0,3.0,2.0,0.0
18,0.0,0.0,2.0,2.0,2.0,4.0,8.0,20.0,15.0,25.0,45.0,44.0,38.0,31.0,12.0,15.0,10.0,2.0,0.0,0.0
19,4.0,0.0,0.0,0.0,4.0,11.0,15.0,35.0,22.0,42.0,50.0,57.0,101.0,66.0,12.0,11.0,6.0,7.0,0.0,0.0
