,0,1,2,3,4,5,6,7,8,9
0,6085.0,1160.0,161.0,92.0,51.0,44.0,15.0,10.0,6.0,0.0
1,6953.0,3439.0,572.0,421.0,283.0,134.0,88.0,51.0,22.0,27.0
2,3018.0,2578.0,389.0,337.0,248.0,212.0,181.0,154.0,83.0,125.0
3,2149.0,2756.0,437.0,233.0,187.0,182.0,171.0,105.0,121.0,194.0
4,1874.0,2492.0,239.0,183.0,137.0,136.0,104.0,130.0,119.0,194.0
5,975.0,2048.0,189.0,82.0,46.0,63.0,53.0,47.0,84.0,120.0
6,449.0,841.0,120.0,69.0,32.0,50.0,56.0,31.0,44.0,138.0
7,381.0,542.0,96.0,16.0,42.0,27.0,14.0,27.0,29.0,31.0
8,204.0,451.0,88.0,3.0,0.0,6.0,5.0,1.0,0.0,0.0
9,53.0,464.0,192.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
