,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2272.0,125.0,53.0,36.0,17.0,13.0,8.0,3.0,7.0,12.0,18.0,18.0,29.0,23.0,27.0,10.0,13.0,0.0,0.0,0.0
1,3703.0,121.0,81.0,62.0,71.0,78.0,70.0,64.0,70.0,118.0,148.0,118.0,104.0,43.0,38.0,35.0,8.0,4.0,4.0,0.0
2,4191.0,179.0,158.0,157.0,172.0,162.0,134.0,193.0,193.0,234.0,266.0,205.0,197.0,147.0,144.0,109.0,66.0,25.0,10.0,38.0
3,1747.0,154.0,146.0,172.0,154.0,174.0,128.0,137.0,164.0,169.0,214.0,285.0,269.0,327.0,317.0,223.0,129.0,51.0,23.0,27.0
4,1096.0,114.0,98.0,91.0,113.0,75.0,70.0,78.0,120.0,147.0,130.0,188.0,205.0,291.0,323.0,296.0,184.0,71.0,43.0,60.0
5,796.0,41.0,56.0,57.0,53.0,55.0,66.0,61.0,83.0,100.0,109.0,142.0,237.0,286.0,381.0,357.0,297.0,175.0,110.0,70.0
6,623.0,41.0,34.0,59.0,40.0,28.0,41.0,32.0,73.0,64.0,114.0,202.0,329.0,403.0,397.0,281.0,277.0,183.0,134.0,112.0
7,475.0,42.0,47.0,38.0,21.0,27.0,43.0,30.0,46.0,68.0,155.0,249.0,324.0,323.0,316.0,283.0,277.0,154.0,75.0,75.0
8,424.0,40.0,47.0,26.0,38.0,28.0,30.0,52.0,52.0,80.0,142.0,187.0,249.0,337.0,364.0,279.0,266.0,118.0,63.0,23.0
9,288.0,45.0,38.0,41.0,62.0,24.0,44.0,52.0,53.0,83.0,97.0,153.0,239.0,286.0,308.0,382.0,285.0,167.0,67.0,49.0
10,272.0,57.0,33.0,31.0,48.0,37.0,31.0,29.0,55.0,62.0,89.0,123.0,159.0,267.0,228.0,226.0,203.0,146.0,48.0,34.0
11,255.0,48.0,50.0,39.0,41.0,52.0,40.0,28.0,35.0,53.0,100.0,101.0,150.0,158.0,122.0,115.0,82.0,36.0,12.0,12.0
12,233.0,46.0,40.0,41.0,31.0,31.0,34.0,34.0,18.0,33.0,52.0,55.0,69.0,94.0,71.0,40.0,29.0,21.0,8.0,2.0
13,220.0,45.0,36.0,43.0,26.0,15.0,14.0,29.0,19.0,38.0,38.0,44.0,68.0,63.0,56.0,50.0,19.0,18.0,3.0,4.0
14,186.0,23.0,36.0,28.0,19.0,14.0,12.0,13.0,28.0,29.0,32.0,36.0,43.0,54.0,55.0,32.0,19.0,15.0,2.0,0.0
15,147.0,11.0,14.0,20.0,21.0,2.0,8.0,4.0,8.0,8.0,23.0,38.0,49.0,57.0,40.0,44.0,27.0,6.0,2.0,0.0
16,107.0,0.0,15.0,14.0,14.0,12.0,1.0,6.0,9.0,8.0,17.0,19.0,42.0,29.0,36.0,29.0,14.0,8.0,1.0,0.0
17,102.0,2.0,2.0,15.0,4.0,7.0,10.0,16.0,8.0,4.0,12.0,47.0,33.0,46.0,37.0,8.0,13.0,8.0,3.0,0.0
18,61.0,2.0,2.0,4.0,4.0,8.0,6.0,11.0,4.0,12.0,16.0,30.0,35.0,33.0,23.0,11.0,6.0,3.0,2.0,2.0
19,86.0,0.0,10.0,12.0,18.0,4.0,3.0,4.0,3.0,13.0,5.0,19.0,48.0,93.0,84.0,31.0,6.0,4.0,0.0,0.0
