,0,1,2,3,4,5,6,7,8,9
0,848.0,279.0,412.0,943.0,5092.0,4520.0,6169.0,5499.0,2566.0,1432.0
1,114.0,98.0,85.0,404.0,858.0,885.0,1044.0,558.0,119.0,10.0
2,230.0,111.0,128.0,493.0,874.0,779.0,812.0,482.0,95.0,4.0
3,173.0,94.0,146.0,548.0,711.0,616.0,589.0,392.0,72.0,6.0
4,165.0,89.0,175.0,529.0,522.0,438.0,319.0,302.0,50.0,0.0
5,181.0,100.0,195.0,371.0,410.0,309.0,242.0,145.0,22.0,0.0
6,122.0,91.0,178.0,240.0,271.0,199.0,124.0,47.0,9.0,0.0
7,92.0,68.0,156.0,242.0,204.0,139.0,90.0,15.0,6.0,0.0
8,36.0,34.0,134.0,128.0,121.0,95.0,28.0,2.0,0.0,0.0
9,39.0,14.0,96.0,169.0,154.0,82.0,17.0,4.0,0.0,0.0
