,0,1,2,3,4,5,6,7,8,9
0,6727.0,7743.0,2977.0,1541.0,468.0,188.0,63.0,50.0,4.0,4.0
1,859.0,3644.0,3257.0,3610.0,3659.0,2013.0,508.0,175.0,22.0,0.0
2,20.0,297.0,580.0,629.0,619.0,633.0,500.0,269.0,62.0,1.0
3,10.0,113.0,253.0,347.0,268.0,198.0,112.0,57.0,42.0,19.0
4,6.0,90.0,120.0,190.0,224.0,176.0,85.0,55.0,11.0,21.0
5,0.0,36.0,65.0,106.0,158.0,136.0,95.0,78.0,29.0,19.0
6,2.0,24.0,35.0,59.0,106.0,173.0,137.0,120.0,42.0,28.0
7,0.0,25.0,22.0,30.0,76.0,109.0,159.0,140.0,77.0,55.0
8,0.0,18.0,12.0,18.0,16.0,70.0,128.0,157.0,200.0,127.0
9,0.0,0.0,4.0,5.0,14.0,11.0,43.0,104.0,269.0,444.0
