,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3029.0,129.0,126.0,91.0,71.0,55.0,80.0,47.0,54.0,97.0,139.0,88.0,84.0,39.0,70.0,31.0,0.0,2.0,0.0,0.0
1,10172.0,688.0,470.0,320.0,311.0,319.0,318.0,315.0,290.0,290.0,400.0,356.0,386.0,324.0,203.0,149.0,100.0,29.0,39.0,54.0
2,4479.0,352.0,369.0,281.0,256.0,232.0,198.0,243.0,376.0,367.0,507.0,635.0,740.0,665.0,629.0,433.0,193.0,104.0,49.0,130.0
3,698.0,122.0,157.0,157.0,171.0,87.0,119.0,185.0,287.0,325.0,450.0,571.0,641.0,683.0,631.0,477.0,353.0,207.0,83.0,105.0
4,304.0,66.0,71.0,84.0,46.0,54.0,72.0,99.0,180.0,178.0,261.0,238.0,221.0,184.0,177.0,139.0,114.0,95.0,38.0,28.0
5,72.0,33.0,32.0,26.0,30.0,47.0,50.0,35.0,39.0,36.0,62.0,100.0,96.0,91.0,54.0,46.0,40.0,35.0,21.0,16.0
6,16.0,20.0,21.0,21.0,27.0,26.0,41.0,37.0,25.0,53.0,56.0,80.0,67.0,81.0,74.0,40.0,30.0,21.0,13.0,12.0
7,17.0,2.0,16.0,7.0,10.0,15.0,30.0,47.0,38.0,38.0,49.0,62.0,65.0,68.0,63.0,49.0,32.0,25.0,15.0,10.0
8,4.0,2.0,6.0,11.0,6.0,14.0,16.0,34.0,37.0,31.0,46.0,55.0,40.0,61.0,55.0,37.0,31.0,27.0,17.0,6.0
9,0.0,4.0,7.0,12.0,14.0,8.0,17.0,22.0,16.0,43.0,41.0,29.0,44.0,60.0,47.0,30.0,16.0,15.0,14.0,3.0
10,2.0,2.0,2.0,4.0,2.0,8.0,10.0,10.0,15.0,31.0,39.0,41.0,50.0,60.0,32.0,35.0,27.0,7.0,11.0,4.0
11,0.0,0.0,0.0,8.0,2.0,2.0,5.0,3.0,14.0,12.0,32.0,42.0,41.0,56.0,44.0,29.0,15.0,5.0,12.0,8.0
12,0.0,2.0,0.0,2.0,5.0,1.0,4.0,2.0,11.0,14.0,24.0,29.0,48.0,76.0,53.0,25.0,22.0,16.0,10.0,19.0
13,0.0,0.0,0.0,0.0,2.0,4.0,10.0,2.0,8.0,11.0,23.0,38.0,49.0,57.0,44.0,36.0,30.0,16.0,13.0,20.0
14,0.0,0.0,0.0,2.0,0.0,6.0,4.0,6.0,8.0,6.0,13.0,25.0,38.0,38.0,59.0,33.0,20.0,19.0,18.0,26.0
15,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,14.0,6.0,15.0,23.0,61.0,56.0,47.0,43.0,18.0,28.0,23.0,26.0
16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,17.0,28.0,26.0,31.0,78.0,75.0,50.0,34.0,15.0,11.0,16.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,20.0,24.0,27.0,72.0,88.0,56.0,26.0,17.0,6.0,8.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,32.0,33.0,70.0,90.0,82.0,29.0,6.0,4.0,2.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,53.0,91.0,145.0,120.0,56.0,31.0,4.0,2.0
