,0,1,2,3,4,5,6,7,8,9
0,10492.0,8714.0,263.0,16.0,0.0,0.0,2.0,0.0,8.0,270.0
1,3250.0,9985.0,4199.0,310.0,0.0,1.0,0.0,2.0,0.0,0.0
2,807.0,1598.0,956.0,241.0,8.0,0.0,0.0,0.0,0.0,0.0
3,277.0,691.0,300.0,111.0,32.0,8.0,0.0,0.0,0.0,0.0
4,200.0,411.0,199.0,93.0,55.0,14.0,4.0,0.0,2.0,0.0
5,136.0,226.0,145.0,111.0,56.0,25.0,15.0,3.0,2.0,3.0
6,133.0,172.0,128.0,102.0,82.0,59.0,29.0,7.0,8.0,6.0
7,62.0,164.0,123.0,115.0,91.0,65.0,45.0,12.0,6.0,10.0
8,20.0,90.0,107.0,97.0,141.0,110.0,61.0,60.0,24.0,36.0
9,0.0,2.0,14.0,30.0,43.0,63.0,129.0,146.0,130.0,337.0
