,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1578.0,530.0,375.0,370.0,249.0,260.0,234.0,192.0,168.0,126.0,82.0,25.0,26.0,9.0,4.0,2.0,2.0,0.0,0.0,0.0
1,766.0,2453.0,2372.0,1751.0,1494.0,1434.0,1455.0,1322.0,958.0,700.0,466.0,182.0,84.0,46.0,14.0,18.0,7.0,4.0,7.0,0.0
2,114.0,808.0,570.0,393.0,483.0,681.0,988.0,1344.0,1575.0,1067.0,1222.0,843.0,560.0,243.0,172.0,72.0,50.0,27.0,16.0,10.0
3,43.0,78.0,120.0,121.0,88.0,122.0,164.0,253.0,518.0,498.0,849.0,1231.0,1005.0,464.0,247.0,136.0,158.0,148.0,111.0,155.0
4,23.0,43.0,58.0,87.0,65.0,88.0,91.0,110.0,172.0,165.0,147.0,276.0,271.0,271.0,98.0,94.0,132.0,132.0,124.0,202.0
5,11.0,36.0,48.0,69.0,74.0,50.0,64.0,57.0,106.0,103.0,74.0,75.0,53.0,30.0,22.0,15.0,7.0,31.0,20.0,16.0
6,12.0,29.0,50.0,57.0,63.0,43.0,52.0,70.0,93.0,78.0,39.0,64.0,46.0,35.0,15.0,12.0,2.0,1.0,0.0,0.0
7,9.0,24.0,50.0,27.0,35.0,56.0,61.0,48.0,77.0,77.0,35.0,49.0,31.0,36.0,18.0,11.0,7.0,7.0,0.0,0.0
8,8.0,3.0,44.0,28.0,41.0,33.0,35.0,61.0,56.0,65.0,41.0,39.0,35.0,27.0,8.0,2.0,8.0,2.0,0.0,0.0
9,6.0,6.0,21.0,32.0,26.0,38.0,36.0,42.0,42.0,42.0,38.0,33.0,34.0,28.0,6.0,6.0,6.0,0.0,0.0,0.0
10,6.0,12.0,36.0,20.0,25.0,30.0,26.0,35.0,39.0,59.0,41.0,11.0,20.0,7.0,13.0,9.0,2.0,1.0,0.0,0.0
11,6.0,6.0,28.0,23.0,14.0,35.0,19.0,24.0,32.0,33.0,32.0,22.0,23.0,11.0,9.0,13.0,0.0,0.0,0.0,0.0
12,0.0,4.0,20.0,37.0,26.0,18.0,27.0,32.0,24.0,30.0,55.0,24.0,21.0,21.0,12.0,1.0,5.0,6.0,0.0,0.0
13,4.0,6.0,22.0,37.0,18.0,20.0,28.0,22.0,23.0,34.0,40.0,42.0,24.0,12.0,13.0,13.0,5.0,0.0,0.0,0.0
14,4.0,12.0,3.0,15.0,20.0,10.0,40.0,27.0,11.0,24.0,29.0,26.0,33.0,29.0,22.0,8.0,8.0,0.0,0.0,0.0
15,0.0,6.0,14.0,36.0,31.0,37.0,12.0,22.0,26.0,26.0,26.0,39.0,37.0,22.0,19.0,13.0,4.0,2.0,0.0,0.0
16,2.0,11.0,5.0,25.0,32.0,17.0,29.0,37.0,34.0,27.0,26.0,40.0,47.0,22.0,17.0,12.0,4.0,4.0,0.0,0.0
17,0.0,4.0,13.0,19.0,20.0,15.0,16.0,30.0,31.0,29.0,12.0,28.0,58.0,36.0,23.0,12.0,6.0,0.0,1.0,2.0
18,0.0,0.0,12.0,25.0,37.0,14.0,18.0,23.0,32.0,31.0,18.0,29.0,44.0,27.0,40.0,17.0,2.0,0.0,2.0,0.0
19,0.0,0.0,4.0,18.0,17.0,12.0,8.0,22.0,34.0,41.0,36.0,47.0,66.0,57.0,62.0,41.0,32.0,10.0,12.0,4.0
