,0,1,2,3,4,5,6,7,8,9
0,11384.0,779.0,699.0,597.0,899.0,1050.0,1519.0,1439.0,843.0,556.0
1,4381.0,690.0,637.0,641.0,1108.0,2179.0,2952.0,3087.0,1719.0,353.0
2,1158.0,188.0,170.0,160.0,132.0,346.0,665.0,505.0,232.0,54.0
3,347.0,78.0,66.0,49.0,41.0,95.0,316.0,263.0,129.0,35.0
4,233.0,45.0,45.0,38.0,40.0,84.0,171.0,195.0,111.0,16.0
5,200.0,32.0,36.0,30.0,11.0,67.0,120.0,120.0,84.0,22.0
6,196.0,42.0,35.0,39.0,16.0,40.0,112.0,152.0,72.0,22.0
7,187.0,30.0,33.0,37.0,21.0,32.0,95.0,141.0,81.0,36.0
8,173.0,47.0,46.0,42.0,50.0,42.0,119.0,142.0,69.0,16.0
9,161.0,51.0,46.0,36.0,65.0,101.0,169.0,164.0,93.0,8.0
