,0,1,2,3,4,5,6,7,8,9
0,2033.0,6603.0,7093.0,2582.0,929.0,274.0,64.0,53.0,17.0,117.0
1,284.0,1301.0,4313.0,4604.0,3196.0,2617.0,944.0,287.0,113.0,88.0
2,39.0,233.0,649.0,697.0,624.0,514.0,390.0,220.0,129.0,115.0
3,18.0,95.0,317.0,444.0,262.0,116.0,54.0,26.0,23.0,64.0
4,6.0,21.0,191.0,321.0,226.0,88.0,48.0,22.0,14.0,41.0
5,0.0,10.0,116.0,231.0,136.0,124.0,44.0,17.0,26.0,18.0
6,0.0,4.0,50.0,200.0,183.0,133.0,87.0,20.0,26.0,23.0
7,0.0,0.0,17.0,136.0,174.0,109.0,118.0,86.0,27.0,26.0
8,0.0,0.0,6.0,69.0,149.0,150.0,141.0,105.0,83.0,43.0
9,0.0,0.0,0.0,5.0,51.0,78.0,132.0,184.0,165.0,279.0
