,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,779.0,215.0,146.0,77.0,101.0,135.0,196.0,203.0,238.0,276.0,286.0,217.0,264.0,214.0,214.0,192.0,260.0,177.0,42.0,0.0
1,40.0,59.0,60.0,90.0,98.0,149.0,185.0,280.0,337.0,384.0,512.0,729.0,998.0,1380.0,1782.0,2389.0,3916.0,1650.0,450.0,45.0
2,139.0,84.0,116.0,112.0,163.0,199.0,174.0,228.0,258.0,287.0,324.0,491.0,752.0,988.0,1260.0,1636.0,2257.0,1354.0,382.0,34.0
3,163.0,88.0,108.0,119.0,138.0,114.0,132.0,161.0,145.0,107.0,176.0,189.0,259.0,422.0,560.0,1050.0,1394.0,821.0,350.0,13.0
4,210.0,81.0,69.0,49.0,62.0,62.0,81.0,57.0,57.0,44.0,66.0,57.0,89.0,112.0,160.0,249.0,484.0,437.0,216.0,7.0
5,31.0,4.0,15.0,9.0,12.0,7.0,7.0,10.0,26.0,12.0,7.0,26.0,20.0,47.0,69.0,100.0,201.0,233.0,115.0,10.0
6,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,5.0,15.0,14.0,16.0,14.0,47.0,48.0,81.0,172.0,204.0,114.0,19.0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,16.0,12.0,13.0,15.0,24.0,53.0,74.0,131.0,172.0,120.0,12.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,11.0,12.0,16.0,17.0,40.0,59.0,137.0,141.0,78.0,10.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,16.0,18.0,36.0,37.0,99.0,102.0,94.0,18.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,14.0,20.0,27.0,29.0,71.0,107.0,90.0,24.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,16.0,28.0,65.0,90.0,92.0,23.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,18.0,16.0,60.0,96.0,126.0,35.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,16.0,39.0,125.0,100.0,73.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,40.0,103.0,126.0,44.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,89.0,166.0,97.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,80.0,187.0,108.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,154.0,147.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,122.0,238.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,401.0
