,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2512.0,4331.0,5569.0,2876.0,1387.0,788.0,462.0,263.0,218.0,142.0,98.0,53.0,30.0,35.0,16.0,9.0,4.0,0.0,0.0,0.0
1,35.0,162.0,301.0,308.0,189.0,146.0,112.0,44.0,35.0,29.0,19.0,9.0,7.0,9.0,9.0,6.0,2.0,0.0,0.0,0.0
2,63.0,119.0,218.0,235.0,168.0,115.0,99.0,58.0,53.0,30.0,27.0,35.0,15.0,12.0,20.0,6.0,0.0,4.0,0.0,0.0
3,14.0,97.0,165.0,177.0,134.0,116.0,78.0,64.0,53.0,46.0,22.0,11.0,11.0,15.0,10.0,2.0,4.0,0.0,0.0,7.0
4,17.0,54.0,134.0,170.0,141.0,103.0,85.0,82.0,53.0,29.0,28.0,10.0,15.0,17.0,9.0,0.0,4.0,2.0,0.0,0.0
5,10.0,61.0,96.0,184.0,133.0,83.0,73.0,66.0,61.0,24.0,16.0,16.0,11.0,19.0,8.0,9.0,0.0,2.0,2.0,4.0
6,13.0,50.0,97.0,160.0,193.0,111.0,82.0,90.0,52.0,26.0,21.0,25.0,9.0,10.0,10.0,18.0,11.0,2.0,2.0,0.0
7,4.0,24.0,67.0,153.0,118.0,112.0,93.0,119.0,105.0,81.0,45.0,43.0,33.0,31.0,39.0,16.0,8.0,4.0,2.0,2.0
8,6.0,6.0,76.0,102.0,166.0,163.0,125.0,114.0,106.0,112.0,99.0,124.0,65.0,47.0,71.0,18.0,6.0,8.0,4.0,0.0
9,2.0,10.0,41.0,115.0,123.0,120.0,213.0,182.0,137.0,167.0,88.0,126.0,89.0,54.0,43.0,23.0,9.0,15.0,4.0,7.0
10,0.0,0.0,42.0,94.0,199.0,188.0,256.0,292.0,243.0,204.0,138.0,152.0,114.0,114.0,82.0,28.0,32.0,22.0,10.0,15.0
11,0.0,2.0,28.0,92.0,141.0,193.0,312.0,266.0,356.0,284.0,219.0,186.0,117.0,93.0,63.0,48.0,28.0,31.0,11.0,42.0
12,8.0,6.0,37.0,54.0,132.0,246.0,310.0,347.0,351.0,318.0,264.0,188.0,129.0,105.0,72.0,64.0,59.0,29.0,49.0,47.0
13,0.0,8.0,25.0,69.0,167.0,245.0,278.0,306.0,327.0,355.0,275.0,206.0,130.0,74.0,60.0,86.0,81.0,93.0,53.0,72.0
14,0.0,10.0,18.0,51.0,139.0,252.0,275.0,277.0,247.0,290.0,306.0,125.0,90.0,99.0,78.0,105.0,71.0,74.0,70.0,103.0
15,0.0,0.0,7.0,54.0,90.0,188.0,226.0,213.0,163.0,237.0,217.0,97.0,53.0,54.0,41.0,51.0,34.0,59.0,46.0,110.0
16,0.0,0.0,8.0,35.0,74.0,147.0,145.0,127.0,86.0,173.0,133.0,58.0,28.0,20.0,29.0,27.0,22.0,24.0,22.0,28.0
17,0.0,0.0,7.0,19.0,35.0,80.0,118.0,63.0,74.0,122.0,82.0,33.0,24.0,29.0,3.0,13.0,4.0,8.0,0.0,6.0
18,0.0,0.0,19.0,19.0,18.0,70.0,60.0,20.0,55.0,48.0,51.0,25.0,2.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0
19,0.0,0.0,25.0,43.0,46.0,66.0,65.0,75.0,70.0,46.0,30.0,7.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
