,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1086.0,1003.0,2941.0,4331.0,3091.0,1968.0,1091.0,811.0,514.0,377.0,287.0,214.0,188.0,148.0,105.0,147.0,129.0,103.0,83.0,176.0
1,59.0,179.0,320.0,253.0,209.0,123.0,61.0,36.0,33.0,35.0,16.0,20.0,10.0,9.0,8.0,24.0,4.0,8.0,0.0,15.0
2,81.0,144.0,257.0,258.0,166.0,69.0,53.0,55.0,25.0,25.0,23.0,17.0,21.0,17.0,8.0,18.0,14.0,13.0,6.0,7.0
3,50.0,106.0,163.0,179.0,145.0,64.0,45.0,45.0,38.0,7.0,28.0,20.0,25.0,10.0,12.0,23.0,16.0,18.0,8.0,24.0
4,35.0,94.0,145.0,159.0,130.0,97.0,46.0,40.0,34.0,28.0,21.0,13.0,26.0,30.0,17.0,14.0,6.0,2.0,8.0,8.0
5,56.0,86.0,138.0,122.0,121.0,71.0,70.0,58.0,52.0,22.0,17.0,10.0,10.0,13.0,8.0,2.0,4.0,5.0,2.0,11.0
6,35.0,101.0,135.0,128.0,147.0,87.0,82.0,58.0,41.0,24.0,32.0,21.0,24.0,20.0,13.0,5.0,4.0,0.0,2.0,23.0
7,49.0,57.0,128.0,132.0,134.0,93.0,62.0,76.0,64.0,53.0,38.0,25.0,28.0,21.0,18.0,12.0,32.0,22.0,17.0,38.0
8,20.0,81.0,126.0,178.0,161.0,112.0,53.0,73.0,70.0,48.0,56.0,38.0,42.0,57.0,58.0,65.0,41.0,36.0,44.0,59.0
9,35.0,73.0,138.0,163.0,196.0,113.0,88.0,98.0,96.0,66.0,82.0,80.0,60.0,55.0,34.0,28.0,20.0,44.0,35.0,64.0
10,44.0,113.0,173.0,258.0,198.0,207.0,154.0,135.0,155.0,133.0,129.0,97.0,66.0,76.0,38.0,29.0,27.0,54.0,41.0,98.0
11,50.0,113.0,168.0,240.0,283.0,268.0,204.0,201.0,195.0,204.0,155.0,100.0,68.0,41.0,48.0,37.0,40.0,30.0,30.0,37.0
12,52.0,107.0,129.0,282.0,305.0,305.0,289.0,288.0,227.0,229.0,142.0,127.0,125.0,57.0,43.0,37.0,24.0,14.0,13.0,20.0
13,24.0,45.0,137.0,319.0,400.0,456.0,286.0,192.0,248.0,283.0,167.0,133.0,84.0,33.0,23.0,15.0,14.0,11.0,13.0,27.0
14,31.0,58.0,153.0,295.0,382.0,424.0,279.0,176.0,209.0,269.0,169.0,91.0,45.0,21.0,29.0,17.0,8.0,4.0,6.0,14.0
15,25.0,33.0,95.0,164.0,350.0,317.0,191.0,124.0,180.0,197.0,119.0,43.0,23.0,17.0,17.0,25.0,6.0,4.0,2.0,8.0
16,10.0,8.0,52.0,69.0,183.0,199.0,128.0,105.0,115.0,135.0,78.0,32.0,16.0,17.0,4.0,10.0,13.0,8.0,2.0,2.0
17,0.0,4.0,16.0,36.0,73.0,84.0,104.0,87.0,103.0,97.0,44.0,28.0,22.0,13.0,2.0,0.0,0.0,4.0,3.0,0.0
18,0.0,8.0,24.0,26.0,30.0,69.0,53.0,43.0,48.0,37.0,20.0,23.0,4.0,10.0,2.0,2.0,0.0,2.0,0.0,0.0
19,9.0,35.0,52.0,44.0,50.0,71.0,33.0,29.0,33.0,30.0,31.0,19.0,20.0,6.0,18.0,13.0,0.0,2.0,0.0,0.0
