,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1210.0,358.0,959.0,1272.0,1994.0,2728.0,2597.0,2122.0,1857.0,1602.0,1000.0,501.0,312.0,172.0,79.0,28.0,2.0,0.0,0.0,0.0
1,23.0,14.0,46.0,62.0,142.0,201.0,206.0,170.0,169.0,130.0,85.0,89.0,46.0,19.0,12.0,0.0,6.0,0.0,0.0,2.0
2,11.0,12.0,29.0,69.0,123.0,212.0,147.0,170.0,137.0,108.0,85.0,70.0,40.0,30.0,16.0,10.0,8.0,0.0,0.0,0.0
3,33.0,14.0,26.0,57.0,70.0,111.0,136.0,115.0,95.0,91.0,82.0,70.0,59.0,30.0,20.0,11.0,2.0,4.0,0.0,0.0
4,16.0,10.0,20.0,56.0,51.0,115.0,91.0,104.0,80.0,62.0,99.0,62.0,85.0,49.0,27.0,16.0,10.0,0.0,0.0,0.0
5,28.0,16.0,16.0,44.0,57.0,80.0,123.0,95.0,70.0,69.0,53.0,71.0,54.0,44.0,26.0,14.0,13.0,5.0,0.0,0.0
6,31.0,18.0,31.0,41.0,65.0,116.0,82.0,87.0,49.0,59.0,93.0,96.0,85.0,58.0,37.0,17.0,11.0,4.0,2.0,0.0
7,32.0,21.0,26.0,33.0,71.0,78.0,75.0,66.0,53.0,71.0,98.0,104.0,133.0,108.0,59.0,34.0,24.0,9.0,2.0,2.0
8,15.0,14.0,26.0,46.0,73.0,75.0,85.0,102.0,79.0,39.0,106.0,171.0,170.0,159.0,102.0,71.0,37.0,27.0,10.0,11.0
9,15.0,10.0,26.0,62.0,108.0,95.0,86.0,68.0,76.0,70.0,75.0,118.0,185.0,152.0,115.0,127.0,95.0,40.0,21.0,24.0
10,26.0,16.0,38.0,73.0,85.0,116.0,69.0,92.0,80.0,89.0,85.0,216.0,209.0,221.0,212.0,222.0,165.0,103.0,54.0,54.0
11,37.0,32.0,27.0,46.0,88.0,120.0,102.0,82.0,63.0,85.0,138.0,241.0,272.0,219.0,199.0,268.0,221.0,124.0,64.0,84.0
12,63.0,32.0,25.0,34.0,81.0,105.0,98.0,107.0,88.0,70.0,137.0,286.0,281.0,220.0,228.0,292.0,291.0,194.0,94.0,89.0
13,44.0,27.0,28.0,41.0,48.0,85.0,77.0,142.0,78.0,76.0,161.0,296.0,336.0,270.0,300.0,290.0,258.0,159.0,111.0,83.0
14,41.0,16.0,34.0,37.0,45.0,53.0,70.0,66.0,91.0,77.0,164.0,252.0,347.0,298.0,301.0,254.0,207.0,142.0,102.0,83.0
15,22.0,14.0,9.0,10.0,22.0,18.0,29.0,50.0,60.0,70.0,91.0,168.0,253.0,261.0,297.0,193.0,156.0,119.0,46.0,52.0
16,8.0,8.0,0.0,6.0,2.0,8.0,10.0,17.0,34.0,33.0,65.0,104.0,146.0,188.0,182.0,166.0,90.0,52.0,47.0,20.0
17,2.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,17.0,30.0,31.0,58.0,67.0,94.0,99.0,120.0,93.0,44.0,25.0,18.0
18,5.0,0.0,0.0,0.0,6.0,3.0,1.0,5.0,5.0,13.0,13.0,39.0,37.0,62.0,35.0,65.0,41.0,43.0,12.0,16.0
19,12.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,3.0,4.0,12.0,38.0,57.0,71.0,77.0,70.0,57.0,43.0,26.0,13.0
