,0,1,2,3,4,5,6,7,8,9
0,5958.0,5037.0,3492.0,2864.0,1302.0,636.0,365.0,274.0,233.0,54.0
1,150.0,443.0,551.0,525.0,265.0,128.0,89.0,59.0,75.0,18.0
2,116.0,272.0,456.0,398.0,332.0,104.0,63.0,44.0,41.0,5.0
3,105.0,263.0,332.0,498.0,447.0,207.0,113.0,65.0,22.0,29.0
4,161.0,283.0,267.0,699.0,588.0,366.0,189.0,107.0,77.0,249.0
5,99.0,384.0,317.0,799.0,1239.0,1089.0,337.0,128.0,118.0,227.0
6,58.0,306.0,262.0,795.0,1338.0,1871.0,723.0,193.0,112.0,67.0
7,16.0,67.0,167.0,452.0,1077.0,1358.0,1127.0,245.0,89.0,22.0
8,0.0,0.0,18.0,84.0,504.0,461.0,678.0,115.0,35.0,11.0
9,0.0,0.0,9.0,62.0,214.0,213.0,267.0,111.0,20.0,0.0
