,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1404.0,9531.0,4295.0,734.0,399.0,294.0,270.0,276.0,190.0,188.0,158.0,136.0,119.0,115.0,103.0,89.0,72.0,74.0,135.0,211.0
1,130.0,656.0,280.0,66.0,41.0,35.0,20.0,32.0,30.0,23.0,22.0,10.0,10.0,23.0,12.0,2.0,4.0,6.0,6.0,14.0
2,147.0,538.0,259.0,66.0,27.0,23.0,28.0,20.0,21.0,14.0,19.0,8.0,14.0,18.0,13.0,12.0,7.0,8.0,16.0,19.0
3,102.0,372.0,207.0,65.0,33.0,21.0,23.0,18.0,18.0,6.0,13.0,14.0,10.0,14.0,8.0,12.0,12.0,20.0,27.0,31.0
4,81.0,326.0,227.0,79.0,30.0,23.0,40.0,10.0,10.0,13.0,3.0,14.0,8.0,12.0,11.0,14.0,0.0,16.0,22.0,14.0
5,76.0,333.0,205.0,65.0,28.0,16.0,25.0,16.0,15.0,9.0,11.0,19.0,11.0,10.0,12.0,13.0,4.0,4.0,4.0,2.0
6,103.0,345.0,225.0,97.0,40.0,24.0,23.0,14.0,15.0,12.0,8.0,12.0,10.0,6.0,8.0,6.0,20.0,8.0,6.0,0.0
7,69.0,336.0,294.0,117.0,59.0,28.0,34.0,17.0,19.0,31.0,24.0,15.0,14.0,12.0,6.0,9.0,3.0,2.0,4.0,6.0
8,48.0,387.0,352.0,182.0,77.0,37.0,43.0,26.0,40.0,31.0,33.0,23.0,19.0,19.0,13.0,26.0,14.0,8.0,8.0,32.0
9,57.0,405.0,526.0,126.0,77.0,62.0,29.0,29.0,15.0,25.0,21.0,24.0,13.0,19.0,16.0,17.0,23.0,27.0,32.0,25.0
10,68.0,538.0,833.0,159.0,85.0,85.0,75.0,38.0,49.0,32.0,36.0,26.0,19.0,15.0,17.0,25.0,37.0,32.0,28.0,28.0
11,83.0,632.0,1148.0,251.0,78.0,55.0,35.0,35.0,20.0,15.0,19.0,15.0,13.0,16.0,10.0,6.0,16.0,25.0,27.0,13.0
12,91.0,680.0,1301.0,267.0,117.0,58.0,41.0,43.0,21.0,37.0,24.0,26.0,29.0,23.0,13.0,14.0,10.0,4.0,8.0,8.0
13,131.0,808.0,1244.0,298.0,117.0,75.0,31.0,21.0,14.0,12.0,29.0,17.0,20.0,13.0,7.0,15.0,10.0,9.0,6.0,33.0
14,170.0,936.0,972.0,265.0,83.0,55.0,25.0,20.0,11.0,22.0,25.0,15.0,21.0,11.0,14.0,4.0,5.0,8.0,2.0,16.0
15,157.0,713.0,574.0,198.0,106.0,43.0,17.0,19.0,18.0,19.0,9.0,5.0,3.0,3.0,5.0,12.0,12.0,3.0,5.0,19.0
16,196.0,451.0,279.0,94.0,60.0,18.0,8.0,6.0,9.0,7.0,2.0,9.0,8.0,4.0,8.0,3.0,2.0,5.0,4.0,13.0
17,150.0,259.0,182.0,41.0,24.0,9.0,8.0,7.0,4.0,4.0,5.0,3.0,2.0,9.0,4.0,2.0,2.0,0.0,0.0,5.0
18,135.0,137.0,78.0,18.0,12.0,8.0,4.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,245.0,115.0,73.0,29.0,19.0,2.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
