,0,1,2,3,4,5,6,7,8,9
0,1149.0,215.0,278.0,354.0,386.0,534.0,537.0,642.0,104.0,0.0
1,395.0,343.0,443.0,712.0,1078.0,1654.0,2766.0,4977.0,758.0,0.0
2,430.0,354.0,449.0,613.0,901.0,1412.0,2394.0,4037.0,1361.0,0.0
3,111.0,134.0,178.0,311.0,411.0,532.0,793.0,2053.0,1539.0,40.0
4,27.0,66.0,140.0,208.0,344.0,622.0,717.0,1016.0,1444.0,195.0
5,9.0,14.0,36.0,69.0,91.0,249.0,418.0,521.0,1105.0,293.0
6,14.0,9.0,16.0,32.0,33.0,51.0,137.0,222.0,612.0,452.0
7,6.0,0.0,9.0,4.0,12.0,19.0,46.0,69.0,233.0,630.0
8,4.0,0.0,2.0,2.0,2.0,3.0,1.0,18.0,146.0,608.0
9,118.0,12.0,0.0,2.0,0.0,2.0,6.0,12.0,60.0,734.0
