,0,1,2,3,4,5,6,7,8,9
0,915.0,60.0,150.0,231.0,446.0,708.0,949.0,663.0,77.0,0.0
1,102.0,147.0,272.0,525.0,909.0,1600.0,3057.0,5049.0,1368.0,97.0
2,203.0,227.0,364.0,483.0,837.0,1246.0,2331.0,3976.0,2006.0,278.0
3,140.0,135.0,142.0,212.0,357.0,567.0,837.0,1781.0,1581.0,350.0
4,117.0,107.0,108.0,250.0,445.0,680.0,818.0,701.0,1118.0,435.0
5,24.0,20.0,35.0,151.0,201.0,270.0,430.0,537.0,822.0,315.0
6,23.0,12.0,13.0,20.0,31.0,87.0,157.0,307.0,611.0,317.0
7,9.0,3.0,8.0,12.0,8.0,31.0,57.0,123.0,444.0,333.0
8,4.0,4.0,0.0,2.0,0.0,2.0,13.0,104.0,361.0,296.0
9,120.0,3.0,0.0,0.0,4.0,3.0,2.0,53.0,444.0,317.0
