,0,1,2,3,4,5,6,7,8,9
0,2923.0,599.0,510.0,153.0,14.0,0.0,0.0,0.0,0.0,0.0
1,7019.0,2789.0,2779.0,476.0,60.0,3.0,0.0,0.0,0.0,0.0
2,3282.0,2153.0,4992.0,1185.0,238.0,81.0,14.0,4.0,2.0,0.0
3,466.0,606.0,2954.0,1316.0,444.0,226.0,79.0,9.0,2.0,0.0
4,48.0,215.0,1841.0,1652.0,385.0,352.0,218.0,61.0,7.0,0.0
5,8.0,113.0,609.0,1112.0,224.0,265.0,220.0,167.0,70.0,17.0
6,12.0,50.0,169.0,504.0,134.0,113.0,179.0,188.0,183.0,46.0
7,4.0,2.0,81.0,217.0,103.0,71.0,84.0,119.0,184.0,163.0
8,4.0,0.0,21.0,128.0,59.0,68.0,51.0,82.0,155.0,218.0
9,112.0,4.0,23.0,109.0,61.0,39.0,10.0,41.0,130.0,417.0
