,0,1,2,3,4,5,6,7,8,9
0,861.0,38.0,4.0,34.0,60.0,112.0,216.0,536.0,1781.0,557.0
1,6.0,39.0,108.0,242.0,525.0,816.0,1697.0,3247.0,5113.0,1333.0
2,39.0,93.0,169.0,331.0,464.0,626.0,1362.0,2858.0,4471.0,1538.0
3,54.0,71.0,110.0,263.0,351.0,611.0,986.0,1351.0,1720.0,585.0
4,77.0,64.0,126.0,225.0,334.0,413.0,770.0,1272.0,1263.0,235.0
5,78.0,96.0,179.0,242.0,195.0,233.0,392.0,598.0,678.0,114.0
6,94.0,122.0,199.0,137.0,143.0,149.0,157.0,185.0,239.0,153.0
7,145.0,161.0,126.0,92.0,77.0,95.0,95.0,73.0,95.0,69.0
8,218.0,109.0,101.0,88.0,41.0,81.0,53.0,63.0,16.0,16.0
9,321.0,177.0,120.0,80.0,40.0,56.0,48.0,75.0,27.0,2.0
