,0,1,2,3,4,5,6,7,8,9
0,1123.0,38.0,66.0,41.0,66.0,78.0,87.0,164.0,235.0,365.0
1,90.0,122.0,90.0,109.0,90.0,74.0,133.0,154.0,168.0,117.0
2,163.0,238.0,177.0,172.0,137.0,152.0,138.0,172.0,111.0,91.0
3,270.0,428.0,324.0,291.0,284.0,186.0,177.0,151.0,118.0,78.0
4,480.0,794.0,512.0,396.0,397.0,232.0,224.0,133.0,42.0,48.0
5,752.0,1516.0,818.0,544.0,756.0,411.0,169.0,69.0,34.0,9.0
6,1452.0,2469.0,1114.0,1162.0,845.0,572.0,153.0,38.0,10.0,0.0
7,3034.0,4777.0,2191.0,1713.0,1078.0,652.0,87.0,18.0,12.0,5.0
8,260.0,1595.0,1876.0,1761.0,1167.0,631.0,60.0,5.0,2.0,5.0
9,0.0,13.0,157.0,346.0,788.0,719.0,602.0,301.0,26.0,0.0
