,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,776.0,10.0,5.0,53.0,76.0,68.0,89.0,30.0,36.0,51.0,71.0,62.0,73.0,32.0,57.0,38.0,37.0,49.0,24.0,109.0
1,11.0,5.0,2.0,12.0,16.0,10.0,19.0,15.0,50.0,44.0,53.0,50.0,21.0,32.0,33.0,36.0,22.0,16.0,21.0,49.0
2,10.0,4.0,6.0,12.0,20.0,26.0,38.0,41.0,45.0,38.0,40.0,23.0,48.0,34.0,29.0,39.0,22.0,15.0,13.0,33.0
3,22.0,4.0,14.0,16.0,22.0,26.0,24.0,51.0,48.0,41.0,36.0,48.0,29.0,31.0,51.0,27.0,41.0,18.0,27.0,35.0
4,22.0,5.0,15.0,15.0,24.0,35.0,65.0,50.0,54.0,36.0,54.0,45.0,38.0,31.0,38.0,32.0,22.0,25.0,20.0,34.0
5,29.0,7.0,21.0,22.0,38.0,50.0,55.0,72.0,100.0,63.0,53.0,51.0,35.0,59.0,63.0,52.0,36.0,24.0,24.0,37.0
6,45.0,29.0,44.0,48.0,36.0,70.0,78.0,66.0,87.0,67.0,83.0,61.0,54.0,58.0,54.0,44.0,44.0,25.0,20.0,22.0
7,106.0,25.0,43.0,51.0,53.0,57.0,86.0,90.0,110.0,101.0,96.0,108.0,66.0,77.0,48.0,51.0,39.0,27.0,9.0,29.0
8,140.0,42.0,63.0,77.0,103.0,118.0,109.0,141.0,122.0,112.0,99.0,92.0,83.0,63.0,66.0,42.0,30.0,13.0,18.0,14.0
9,208.0,77.0,93.0,117.0,130.0,142.0,131.0,160.0,118.0,110.0,95.0,99.0,61.0,51.0,41.0,23.0,23.0,12.0,14.0,6.0
10,375.0,128.0,208.0,167.0,226.0,209.0,180.0,167.0,137.0,112.0,113.0,67.0,59.0,37.0,37.0,15.0,13.0,9.0,4.0,7.0
11,632.0,175.0,219.0,253.0,252.0,278.0,192.0,189.0,133.0,147.0,93.0,67.0,51.0,57.0,43.0,14.0,2.0,7.0,4.0,0.0
12,1278.0,305.0,287.0,290.0,285.0,242.0,177.0,128.0,130.0,84.0,84.0,57.0,49.0,16.0,19.0,9.0,5.0,2.0,2.0,0.0
13,2310.0,343.0,318.0,320.0,197.0,220.0,215.0,139.0,117.0,63.0,53.0,39.0,18.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0
14,3817.0,379.0,298.0,290.0,268.0,232.0,138.0,105.0,76.0,46.0,42.0,14.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
15,6347.0,332.0,277.0,233.0,148.0,176.0,140.0,101.0,54.0,26.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4036.0,176.0,132.0,94.0,80.0,57.0,44.0,18.0,22.0,9.0,6.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
17,2551.0,54.0,36.0,17.0,14.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1849.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1092.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
