,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,820.0,54.0,48.0,74.0,34.0,22.0,12.0,19.0,24.0,23.0,25.0,26.0,26.0,32.0,22.0,26.0,26.0,16.0,20.0,397.0
1,68.0,59.0,97.0,33.0,24.0,21.0,16.0,7.0,17.0,18.0,11.0,8.0,6.0,16.0,15.0,13.0,13.0,11.0,10.0,54.0
2,37.0,79.0,82.0,77.0,38.0,28.0,24.0,21.0,15.0,13.0,10.0,7.0,14.0,6.0,9.0,17.0,9.0,6.0,6.0,38.0
3,57.0,144.0,101.0,62.0,68.0,15.0,8.0,14.0,10.0,14.0,11.0,11.0,16.0,2.0,18.0,7.0,8.0,8.0,8.0,29.0
4,67.0,145.0,131.0,108.0,58.0,20.0,11.0,15.0,10.0,8.0,12.0,12.0,6.0,10.0,6.0,1.0,8.0,3.0,6.0,23.0
5,111.0,185.0,248.0,116.0,69.0,34.0,8.0,21.0,9.0,10.0,9.0,8.0,4.0,12.0,10.0,12.0,2.0,11.0,4.0,8.0
6,131.0,213.0,285.0,140.0,71.0,37.0,16.0,17.0,28.0,10.0,4.0,13.0,16.0,12.0,6.0,8.0,9.0,11.0,0.0,8.0
7,140.0,292.0,318.0,217.0,112.0,48.0,15.0,15.0,16.0,12.0,10.0,15.0,8.0,13.0,12.0,6.0,5.0,2.0,4.0,12.0
8,137.0,379.0,475.0,221.0,123.0,58.0,22.0,18.0,16.0,19.0,12.0,12.0,14.0,10.0,0.0,6.0,6.0,8.0,7.0,4.0
9,118.0,466.0,512.0,278.0,156.0,58.0,15.0,16.0,24.0,15.0,3.0,8.0,13.0,2.0,5.0,12.0,2.0,2.0,2.0,4.0
10,145.0,613.0,722.0,318.0,249.0,116.0,16.0,21.0,11.0,11.0,17.0,10.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,4.0
11,171.0,813.0,787.0,470.0,262.0,199.0,18.0,28.0,14.0,8.0,13.0,8.0,6.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0
12,184.0,1036.0,1057.0,540.0,300.0,187.0,51.0,21.0,11.0,8.0,12.0,12.0,3.0,12.0,2.0,5.0,2.0,0.0,2.0,4.0
13,280.0,1320.0,1384.0,676.0,350.0,197.0,78.0,20.0,12.0,21.0,9.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0
14,405.0,1985.0,1724.0,831.0,410.0,187.0,80.0,40.0,15.0,13.0,3.0,6.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0
15,393.0,2245.0,3147.0,1140.0,507.0,233.0,85.0,46.0,14.0,23.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,139.0,678.0,1947.0,1106.0,519.0,170.0,79.0,22.0,12.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,239.0,373.0,613.0,712.0,433.0,223.0,77.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,222.0,256.0,307.0,355.0,394.0,215.0,79.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,40.0,138.0,310.0,284.0,109.0,80.0,115.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
