,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1196.0,84.0,24.0,40.0,12.0,6.0,11.0,24.0,28.0,48.0,21.0,14.0,37.0,79.0,63.0,41.0,8.0,8.0,2.0,0.0
1,192.0,4.0,9.0,20.0,22.0,20.0,11.0,22.0,8.0,14.0,13.0,27.0,21.0,24.0,40.0,42.0,15.0,13.0,0.0,0.0
2,173.0,12.0,13.0,23.0,18.0,12.0,10.0,16.0,15.0,11.0,14.0,28.0,31.0,32.0,39.0,36.0,36.0,12.0,3.0,2.0
3,186.0,20.0,20.0,16.0,21.0,12.0,20.0,16.0,20.0,19.0,16.0,24.0,39.0,47.0,52.0,31.0,21.0,23.0,5.0,3.0
4,183.0,13.0,15.0,20.0,27.0,16.0,13.0,24.0,10.0,17.0,22.0,42.0,46.0,61.0,54.0,26.0,35.0,27.0,2.0,7.0
5,286.0,18.0,22.0,41.0,34.0,26.0,10.0,12.0,17.0,23.0,34.0,40.0,68.0,66.0,65.0,40.0,51.0,21.0,10.0,7.0
6,328.0,48.0,22.0,11.0,18.0,18.0,25.0,18.0,16.0,21.0,37.0,73.0,55.0,89.0,99.0,59.0,44.0,31.0,12.0,11.0
7,403.0,33.0,25.0,31.0,31.0,26.0,20.0,24.0,36.0,35.0,60.0,92.0,93.0,96.0,73.0,94.0,43.0,28.0,15.0,14.0
8,533.0,47.0,44.0,38.0,25.0,19.0,33.0,12.0,22.0,39.0,59.0,83.0,100.0,113.0,143.0,106.0,69.0,42.0,9.0,11.0
9,619.0,47.0,44.0,22.0,20.0,35.0,21.0,35.0,46.0,39.0,67.0,59.0,126.0,133.0,142.0,99.0,77.0,45.0,17.0,18.0
10,872.0,56.0,38.0,31.0,39.0,16.0,21.0,31.0,41.0,34.0,113.0,141.0,151.0,152.0,183.0,132.0,116.0,45.0,18.0,40.0
11,1045.0,68.0,59.0,81.0,40.0,38.0,28.0,30.0,35.0,72.0,140.0,145.0,205.0,181.0,198.0,194.0,143.0,65.0,31.0,10.0
12,1399.0,59.0,60.0,38.0,45.0,28.0,35.0,71.0,66.0,77.0,150.0,186.0,229.0,277.0,267.0,217.0,159.0,58.0,16.0,12.0
13,1723.0,78.0,67.0,46.0,58.0,95.0,71.0,56.0,102.0,137.0,174.0,217.0,294.0,335.0,347.0,251.0,156.0,91.0,38.0,30.0
14,2482.0,114.0,85.0,102.0,104.0,105.0,93.0,81.0,126.0,191.0,211.0,302.0,332.0,391.0,381.0,239.0,216.0,74.0,54.0,31.0
15,3329.0,204.0,188.0,171.0,165.0,129.0,137.0,139.0,166.0,247.0,257.0,368.0,435.0,497.0,447.0,386.0,311.0,130.0,80.0,67.0
16,792.0,80.0,104.0,101.0,123.0,102.0,79.0,102.0,128.0,134.0,180.0,238.0,372.0,445.0,464.0,469.0,390.0,166.0,110.0,103.0
17,511.0,31.0,38.0,36.0,62.0,52.0,68.0,84.0,104.0,83.0,109.0,75.0,114.0,180.0,195.0,232.0,214.0,244.0,132.0,116.0
18,531.0,52.0,63.0,57.0,58.0,58.0,57.0,54.0,43.0,60.0,69.0,69.0,96.0,117.0,90.0,128.0,97.0,79.0,56.0,24.0
19,501.0,68.0,56.0,61.0,45.0,33.0,30.0,25.0,19.0,34.0,31.0,36.0,34.0,45.0,25.0,19.0,19.0,11.0,0.0,2.0
