,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,893.0,16.0,20.0,34.0,18.0,20.0,54.0,51.0,47.0,40.0,48.0,39.0,62.0,66.0,36.0,23.0,33.0,9.0,46.0,191.0
1,0.0,10.0,20.0,22.0,30.0,29.0,45.0,57.0,33.0,35.0,32.0,29.0,8.0,29.0,15.0,29.0,14.0,14.0,14.0,52.0
2,0.0,4.0,10.0,41.0,35.0,39.0,43.0,46.0,53.0,58.0,37.0,22.0,26.0,22.0,23.0,22.0,17.0,8.0,11.0,19.0
3,3.0,14.0,33.0,46.0,43.0,43.0,50.0,74.0,77.0,37.0,15.0,21.0,25.0,25.0,19.0,15.0,17.0,22.0,9.0,23.0
4,2.0,18.0,34.0,48.0,65.0,56.0,79.0,69.0,51.0,40.0,57.0,24.0,17.0,19.0,16.0,12.0,7.0,20.0,7.0,19.0
5,2.0,26.0,38.0,90.0,93.0,94.0,111.0,102.0,73.0,49.0,29.0,37.0,24.0,13.0,22.0,23.0,20.0,11.0,13.0,21.0
6,8.0,24.0,69.0,118.0,114.0,109.0,118.0,115.0,58.0,38.0,46.0,55.0,46.0,32.0,14.0,15.0,16.0,15.0,15.0,10.0
7,24.0,26.0,72.0,136.0,159.0,137.0,153.0,102.0,95.0,73.0,53.0,48.0,38.0,34.0,31.0,23.0,22.0,11.0,12.0,23.0
8,9.0,17.0,95.0,230.0,193.0,195.0,178.0,145.0,115.0,81.0,86.0,48.0,47.0,32.0,23.0,16.0,15.0,8.0,4.0,10.0
9,12.0,37.0,126.0,259.0,197.0,235.0,185.0,140.0,125.0,96.0,82.0,79.0,36.0,28.0,18.0,16.0,15.0,8.0,2.0,15.0
10,14.0,59.0,183.0,324.0,356.0,283.0,249.0,163.0,124.0,108.0,136.0,115.0,53.0,23.0,29.0,14.0,15.0,3.0,8.0,11.0
11,11.0,83.0,253.0,394.0,438.0,340.0,303.0,207.0,158.0,140.0,191.0,134.0,56.0,36.0,15.0,23.0,7.0,8.0,6.0,5.0
12,18.0,97.0,285.0,482.0,603.0,504.0,348.0,261.0,199.0,130.0,152.0,139.0,90.0,53.0,23.0,25.0,19.0,8.0,6.0,7.0
13,16.0,100.0,351.0,716.0,781.0,622.0,492.0,310.0,222.0,171.0,215.0,138.0,92.0,59.0,24.0,16.0,9.0,10.0,7.0,15.0
14,49.0,141.0,445.0,968.0,1107.0,931.0,584.0,390.0,280.0,221.0,227.0,124.0,93.0,38.0,37.0,18.0,13.0,6.0,16.0,26.0
15,196.0,171.0,491.0,1112.0,1468.0,1384.0,959.0,673.0,485.0,246.0,217.0,166.0,104.0,63.0,42.0,31.0,26.0,5.0,6.0,8.0
16,83.0,63.0,115.0,303.0,537.0,768.0,719.0,540.0,445.0,338.0,261.0,208.0,136.0,62.0,41.0,26.0,20.0,5.0,6.0,6.0
17,35.0,27.0,55.0,93.0,187.0,264.0,301.0,340.0,357.0,296.0,228.0,165.0,108.0,79.0,38.0,44.0,20.0,19.0,18.0,6.0
18,32.0,20.0,52.0,53.0,97.0,115.0,210.0,209.0,227.0,210.0,136.0,89.0,60.0,97.0,76.0,38.0,27.0,45.0,37.0,28.0
19,10.0,10.0,17.0,34.0,28.0,35.0,41.0,73.0,143.0,156.0,167.0,108.0,61.0,30.0,33.0,16.0,31.0,25.0,27.0,49.0
