,0,1,2,3,4,5,6,7,8,9
0,1723.0,231.0,33.0,31.0,6.0,4.0,2.0,0.0,8.0,270.0
1,2356.0,784.0,83.0,42.0,40.0,22.0,18.0,8.0,2.0,0.0
2,4760.0,2242.0,179.0,99.0,45.0,35.0,39.0,16.0,22.0,23.0
3,3819.0,3324.0,212.0,113.0,80.0,50.0,60.0,24.0,28.0,56.0
4,1515.0,3816.0,292.0,85.0,62.0,51.0,44.0,47.0,32.0,88.0
5,705.0,3858.0,716.0,115.0,92.0,58.0,37.0,47.0,35.0,60.0
6,392.0,3800.0,1230.0,160.0,78.0,56.0,51.0,47.0,26.0,59.0
7,94.0,2369.0,1830.0,211.0,43.0,28.0,25.0,27.0,16.0,48.0
8,13.0,1063.0,1460.0,256.0,37.0,16.0,6.0,10.0,8.0,30.0
9,0.0,566.0,399.0,114.0,25.0,25.0,3.0,4.0,3.0,28.0
