,0,1,2,3,4,5,6,7,8,9
0,1819.0,106.0,91.0,74.0,49.0,49.0,44.0,31.0,23.0,22.0
1,2568.0,162.0,138.0,152.0,150.0,87.0,51.0,34.0,13.0,0.0
2,5578.0,437.0,336.0,282.0,306.0,173.0,148.0,168.0,26.0,6.0
3,4811.0,499.0,509.0,406.0,419.0,436.0,390.0,224.0,57.0,15.0
4,2235.0,348.0,308.0,263.0,481.0,832.0,800.0,510.0,201.0,54.0
5,714.0,191.0,156.0,201.0,445.0,934.0,1393.0,1080.0,466.0,143.0
6,292.0,97.0,126.0,152.0,302.0,725.0,1422.0,1634.0,874.0,275.0
7,168.0,70.0,47.0,54.0,123.0,453.0,1124.0,1455.0,955.0,242.0
8,164.0,54.0,74.0,62.0,72.0,277.0,627.0,805.0,545.0,219.0
9,71.0,18.0,28.0,23.0,36.0,70.0,239.0,267.0,273.0,142.0
