,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,811.0,7.0,9.0,18.0,50.0,35.0,50.0,113.0,140.0,149.0,211.0,222.0,333.0,404.0,446.0,390.0,313.0,162.0,25.0,16.0
1,21.0,18.0,38.0,49.0,94.0,88.0,105.0,162.0,290.0,393.0,486.0,793.0,1074.0,1624.0,2198.0,2258.0,870.0,487.0,275.0,150.0
2,111.0,58.0,69.0,129.0,143.0,187.0,232.0,266.0,343.0,451.0,569.0,701.0,830.0,1466.0,1886.0,2459.0,2130.0,1135.0,650.0,480.0
3,165.0,73.0,102.0,110.0,100.0,137.0,134.0,201.0,228.0,270.0,384.0,387.0,492.0,599.0,752.0,983.0,1084.0,856.0,478.0,223.0
4,37.0,16.0,39.0,45.0,40.0,56.0,64.0,157.0,242.0,237.0,301.0,350.0,354.0,412.0,309.0,416.0,693.0,316.0,116.0,86.0
5,13.0,2.0,26.0,22.0,16.0,39.0,66.0,73.0,76.0,103.0,129.0,175.0,194.0,264.0,206.0,271.0,196.0,135.0,125.0,17.0
6,0.0,12.0,6.0,6.0,2.0,4.0,10.0,18.0,24.0,17.0,27.0,37.0,46.0,70.0,86.0,139.0,179.0,55.0,79.0,8.0
7,7.0,0.0,2.0,6.0,7.0,20.0,12.0,8.0,12.0,16.0,24.0,33.0,29.0,33.0,55.0,47.0,58.0,30.0,2.0,0.0
8,10.0,4.0,6.0,9.0,10.0,0.0,14.0,10.0,22.0,14.0,15.0,24.0,25.0,23.0,37.0,26.0,8.0,11.0,4.0,0.0
9,4.0,2.0,0.0,9.0,8.0,10.0,15.0,10.0,12.0,13.0,21.0,18.0,16.0,18.0,31.0,21.0,16.0,12.0,0.0,0.0
10,2.0,0.0,2.0,2.0,2.0,8.0,9.0,9.0,16.0,18.0,11.0,14.0,6.0,24.0,18.0,17.0,10.0,3.0,2.0,0.0
11,0.0,4.0,0.0,4.0,3.0,7.0,10.0,9.0,12.0,4.0,21.0,19.0,11.0,24.0,16.0,16.0,2.0,8.0,2.0,0.0
12,0.0,0.0,0.0,3.0,2.0,5.0,8.0,14.0,12.0,14.0,11.0,10.0,17.0,10.0,20.0,12.0,8.0,2.0,0.0,0.0
13,0.0,2.0,0.0,3.0,4.0,2.0,19.0,6.0,10.0,6.0,14.0,6.0,9.0,16.0,14.0,22.0,2.0,2.0,0.0,0.0
14,0.0,0.0,2.0,2.0,0.0,0.0,2.0,14.0,3.0,2.0,16.0,20.0,14.0,19.0,9.0,5.0,4.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,2.0,3.0,2.0,12.0,8.0,14.0,14.0,14.0,6.0,18.0,10.0,12.0,3.0,0.0,0.0,0.0
16,4.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,2.0,20.0,11.0,14.0,4.0,3.0,14.0,4.0,4.0,0.0,0.0,0.0
17,4.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,6.0,12.0,10.0,15.0,8.0,6.0,4.0,4.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,6.0,6.0,12.0,13.0,13.0,8.0,2.0,0.0,0.0,0.0,0.0
19,270.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,15.0,12.0,24.0,28.0,78.0,37.0,29.0,40.0,34.0,0.0,0.0,0.0
