,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,742.0,317.0,552.0,657.0,496.0,307.0,222.0,168.0,125.0,108.0,77.0,14.0,15.0,2.0,6.0,8.0,0.0,0.0,0.0,88.0
1,247.0,487.0,1690.0,3047.0,2564.0,1532.0,837.0,429.0,272.0,179.0,94.0,44.0,24.0,12.0,7.0,0.0,4.0,0.0,0.0,4.0
2,85.0,128.0,471.0,1640.0,3009.0,3299.0,2519.0,1440.0,799.0,400.0,247.0,119.0,66.0,30.0,7.0,11.0,4.0,3.0,10.0,8.0
3,28.0,16.0,34.0,117.0,362.0,840.0,1191.0,1479.0,1412.0,939.0,557.0,321.0,172.0,115.0,42.0,40.0,27.0,20.0,18.0,28.0
4,33.0,15.0,17.0,36.0,66.0,128.0,196.0,292.0,443.0,595.0,949.0,667.0,316.0,177.0,118.0,54.0,54.0,37.0,29.0,64.0
5,0.0,0.0,0.0,4.0,26.0,40.0,103.0,104.0,86.0,150.0,274.0,380.0,353.0,232.0,150.0,91.0,61.0,32.0,35.0,27.0
6,0.0,0.0,0.0,2.0,16.0,31.0,57.0,37.0,47.0,51.0,55.0,54.0,48.0,80.0,75.0,63.0,56.0,44.0,48.0,61.0
7,4.0,0.0,0.0,0.0,6.0,10.0,31.0,44.0,56.0,32.0,24.0,42.0,25.0,13.0,10.0,14.0,13.0,14.0,17.0,46.0
8,0.0,0.0,0.0,0.0,2.0,7.0,24.0,32.0,32.0,21.0,31.0,25.0,24.0,24.0,12.0,7.0,6.0,2.0,6.0,17.0
9,0.0,0.0,0.0,0.0,2.0,3.0,11.0,12.0,32.0,31.0,17.0,17.0,35.0,25.0,4.0,26.0,8.0,7.0,1.0,5.0
10,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,19.0,15.0,26.0,26.0,14.0,12.0,7.0,11.0,8.0,8.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,20.0,8.0,20.0,24.0,19.0,12.0,13.0,19.0,13.0,0.0,7.0,0.0
12,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,14.0,12.0,18.0,16.0,13.0,19.0,12.0,12.0,6.0,6.0,4.0
13,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,9.0,13.0,10.0,15.0,11.0,29.0,12.0,14.0,5.0,3.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,7.0,5.0,6.0,14.0,13.0,13.0,9.0,10.0,7.0,14.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,8.0,14.0,17.0,8.0,10.0,21.0,10.0,9.0,8.0
16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,12.0,10.0,23.0,9.0,7.0,8.0,7.0,4.0
17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,10.0,11.0,19.0,4.0,6.0,8.0,4.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,4.0,12.0,12.0,11.0,6.0,15.0
19,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,17.0,14.0,30.0,37.0,52.0,145.0
