,0,1,2,3,4,5,6,7,8,9
0,1184.0,529.0,470.0,599.0,833.0,1076.0,1824.0,3016.0,4924.0,922.0
1,386.0,358.0,599.0,876.0,1117.0,1500.0,2820.0,5232.0,7822.0,1343.0
2,30.0,73.0,141.0,215.0,240.0,510.0,889.0,1674.0,1995.0,667.0
3,15.0,10.0,32.0,44.0,36.0,86.0,189.0,231.0,283.0,300.0
4,0.0,0.0,0.0,0.0,4.0,18.0,21.0,49.0,163.0,253.0
5,0.0,0.0,0.0,0.0,0.0,2.0,18.0,34.0,82.0,209.0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,68.0,204.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,201.0
8,8.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,148.0
9,270.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,26.0,355.0
