,0,1,2,3,4,5,6,7,8,9
0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1884.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3234.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5146.0,42.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8314.0,294.0,35.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
7,12293.0,561.0,117.0,76.0,27.0,38.0,36.0,43.0,38.0,65.0
8,7834.0,116.0,128.0,83.0,70.0,98.0,88.0,91.0,81.0,243.0
9,2411.0,52.0,39.0,29.0,54.0,38.0,22.0,31.0,23.0,39.0
