,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,953.0,80.0,16.0,20.0,13.0,15.0,13.0,18.0,10.0,13.0,4.0,6.0,35.0,61.0,48.0,41.0,53.0,32.0,12.0,16.0
1,4.0,4.0,1.0,2.0,2.0,4.0,6.0,9.0,3.0,5.0,0.0,11.0,15.0,13.0,14.0,25.0,44.0,21.0,9.0,6.0
2,38.0,5.0,4.0,8.0,6.0,2.0,6.0,2.0,4.0,0.0,12.0,11.0,8.0,35.0,51.0,36.0,26.0,25.0,11.0,11.0
3,58.0,5.0,6.0,8.0,13.0,12.0,5.0,6.0,2.0,6.0,6.0,26.0,25.0,37.0,54.0,61.0,37.0,38.0,6.0,6.0
4,117.0,9.0,8.0,18.0,11.0,8.0,13.0,8.0,4.0,5.0,8.0,9.0,27.0,68.0,62.0,61.0,19.0,18.0,7.0,7.0
5,156.0,9.0,10.0,15.0,12.0,19.0,10.0,8.0,14.0,15.0,17.0,19.0,40.0,64.0,74.0,45.0,45.0,16.0,6.0,11.0
6,216.0,28.0,18.0,20.0,11.0,18.0,23.0,8.0,13.0,18.0,41.0,33.0,56.0,42.0,72.0,78.0,34.0,20.0,11.0,4.0
7,300.0,29.0,28.0,24.0,12.0,22.0,19.0,32.0,29.0,31.0,33.0,52.0,74.0,90.0,113.0,89.0,79.0,34.0,18.0,14.0
8,444.0,40.0,29.0,32.0,31.0,21.0,25.0,17.0,28.0,30.0,58.0,71.0,133.0,147.0,145.0,84.0,63.0,42.0,7.0,26.0
9,520.0,46.0,28.0,38.0,35.0,29.0,20.0,22.0,26.0,47.0,68.0,115.0,113.0,187.0,168.0,139.0,82.0,53.0,16.0,13.0
10,693.0,36.0,41.0,40.0,52.0,39.0,28.0,28.0,27.0,34.0,73.0,134.0,198.0,213.0,258.0,170.0,157.0,49.0,22.0,15.0
11,997.0,44.0,53.0,31.0,29.0,37.0,36.0,24.0,60.0,79.0,99.0,145.0,209.0,289.0,275.0,211.0,165.0,82.0,11.0,11.0
12,1383.0,58.0,57.0,59.0,61.0,38.0,60.0,68.0,79.0,70.0,142.0,191.0,253.0,288.0,269.0,227.0,157.0,70.0,19.0,17.0
13,2238.0,119.0,83.0,83.0,92.0,52.0,77.0,105.0,93.0,151.0,238.0,259.0,347.0,303.0,317.0,256.0,165.0,65.0,37.0,5.0
14,3291.0,151.0,140.0,115.0,106.0,122.0,74.0,95.0,115.0,170.0,188.0,278.0,258.0,316.0,293.0,178.0,154.0,51.0,38.0,17.0
15,3276.0,174.0,172.0,196.0,172.0,146.0,148.0,150.0,214.0,263.0,280.0,334.0,390.0,349.0,284.0,228.0,182.0,96.0,46.0,44.0
16,1449.0,138.0,148.0,121.0,145.0,120.0,97.0,135.0,152.0,213.0,309.0,337.0,382.0,428.0,430.0,418.0,270.0,172.0,79.0,75.0
17,657.0,90.0,70.0,79.0,81.0,81.0,62.0,61.0,96.0,85.0,76.0,98.0,171.0,250.0,274.0,299.0,258.0,165.0,116.0,145.0
18,241.0,30.0,32.0,28.0,35.0,36.0,44.0,41.0,41.0,49.0,78.0,112.0,99.0,137.0,113.0,155.0,202.0,124.0,109.0,52.0
19,253.0,41.0,52.0,49.0,48.0,25.0,27.0,39.0,38.0,51.0,47.0,18.0,45.0,43.0,53.0,40.0,28.0,40.0,30.0,13.0
