,0,1,2,3,4,5,6,7,8,9
0,12899.0,843.0,102.0,24.0,6.0,0.0,0.0,0.0,0.0,4.0
1,6489.0,16.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13937.0,8.0,18.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
3,6804.0,16.0,10.0,6.0,6.0,8.0,0.0,2.0,0.0,0.0
4,1610.0,27.0,21.0,21.0,9.0,14.0,6.0,8.0,2.0,4.0
5,1098.0,19.0,13.0,16.0,12.0,16.0,20.0,7.0,0.0,17.0
6,709.0,22.0,17.0,10.0,11.0,16.0,22.0,26.0,16.0,6.0
7,527.0,25.0,32.0,12.0,17.0,10.0,2.0,17.0,6.0,23.0
8,350.0,52.0,49.0,35.0,28.0,49.0,32.0,36.0,43.0,59.0
9,156.0,43.0,51.0,44.0,60.0,61.0,64.0,69.0,75.0,238.0
