,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1081.0,4.0,15.0,31.0,17.0,32.0,10.0,105.0,505.0,542.0,238.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,94.0,13.0,59.0,113.0,34.0,46.0,105.0,503.0,1205.0,1395.0,370.0,101.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,137.0,62.0,48.0,95.0,58.0,187.0,328.0,579.0,840.0,661.0,420.0,277.0,167.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3,169.0,136.0,97.0,90.0,128.0,174.0,215.0,324.0,342.0,468.0,412.0,354.0,233.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0
4,95.0,92.0,74.0,57.0,55.0,101.0,140.0,192.0,310.0,338.0,376.0,341.0,359.0,204.0,83.0,41.0,0.0,0.0,0.0,0.0
5,21.0,44.0,54.0,34.0,34.0,65.0,121.0,81.0,167.0,243.0,402.0,351.0,359.0,496.0,354.0,167.0,14.0,6.0,0.0,0.0
6,13.0,15.0,25.0,48.0,49.0,68.0,105.0,73.0,107.0,139.0,292.0,395.0,520.0,624.0,595.0,284.0,46.0,4.0,1.0,0.0
7,4.0,9.0,15.0,28.0,58.0,77.0,113.0,92.0,71.0,116.0,294.0,446.0,582.0,731.0,722.0,340.0,70.0,5.0,0.0,0.0
8,5.0,2.0,8.0,20.0,38.0,60.0,71.0,68.0,85.0,133.0,290.0,504.0,707.0,791.0,737.0,361.0,148.0,23.0,0.0,0.0
9,0.0,4.0,3.0,17.0,16.0,44.0,102.0,96.0,102.0,199.0,294.0,327.0,495.0,514.0,365.0,363.0,214.0,89.0,10.0,1.0
10,0.0,0.0,0.0,5.0,12.0,44.0,88.0,93.0,150.0,206.0,231.0,341.0,408.0,362.0,355.0,461.0,339.0,178.0,35.0,0.0
11,0.0,0.0,0.0,25.0,15.0,40.0,62.0,110.0,137.0,175.0,190.0,190.0,288.0,368.0,401.0,416.0,319.0,252.0,129.0,8.0
12,0.0,0.0,0.0,15.0,40.0,58.0,45.0,84.0,125.0,106.0,127.0,132.0,175.0,355.0,447.0,244.0,193.0,223.0,131.0,18.0
13,0.0,0.0,0.0,2.0,8.0,42.0,34.0,25.0,49.0,94.0,93.0,74.0,103.0,126.0,234.0,152.0,107.0,129.0,118.0,43.0
14,0.0,0.0,0.0,0.0,10.0,59.0,23.0,16.0,46.0,45.0,48.0,66.0,33.0,62.0,45.0,40.0,63.0,84.0,117.0,77.0
15,0.0,0.0,0.0,0.0,0.0,17.0,15.0,11.0,19.0,49.0,29.0,21.0,30.0,64.0,41.0,13.0,43.0,58.0,52.0,45.0
16,0.0,0.0,0.0,0.0,0.0,7.0,19.0,5.0,9.0,22.0,16.0,4.0,26.0,78.0,53.0,7.0,23.0,40.0,53.0,85.0
17,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,6.0,4.0,0.0,4.0,68.0,66.0,19.0,43.0,32.0,38.0,79.0
18,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,21.0,8.0,27.0,56.0,38.0,112.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,28.0,83.0,99.0,163.0
