,0,1,2,3,4,5,6,7,8,9
0,11849.0,3311.0,5362.0,1539.0,60.0,16.0,4.0,0.0,0.0,0.0
1,1984.0,3052.0,7582.0,3515.0,378.0,167.0,78.0,12.0,3.0,0.0
2,35.0,137.0,783.0,1059.0,325.0,71.0,35.0,13.0,25.0,0.0
3,10.0,29.0,174.0,466.0,452.0,190.0,44.0,48.0,19.0,4.0
4,0.0,2.0,34.0,186.0,289.0,349.0,96.0,31.0,23.0,16.0
5,0.0,0.0,30.0,78.0,136.0,241.0,216.0,77.0,46.0,30.0
6,0.0,0.0,9.0,8.0,64.0,95.0,238.0,168.0,80.0,25.0
7,0.0,0.0,5.0,1.0,15.0,80.0,96.0,187.0,117.0,60.0
8,0.0,0.0,0.0,0.0,3.0,9.0,45.0,100.0,193.0,162.0
9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,227.0,564.0
