,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3630.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,16884.0,741.0,476.0,219.0,78.0,32.0,36.0,16.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13079.0,168.0,134.0,64.0,18.0,12.0,18.0,5.0,2.0,6.0,8.0,8.0,9.0,13.0,3.0,4.0,0.0,0.0,3.0,0.0
3,3160.0,8.0,8.0,4.0,5.0,6.0,5.0,0.0,4.0,1.0,2.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
4,1468.0,8.0,4.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,8.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0
5,939.0,5.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0
6,738.0,5.0,5.0,4.0,7.0,4.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0
7,612.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,8.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0
8,502.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0
9,455.0,11.0,6.0,0.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
10,413.0,0.0,7.0,4.0,0.0,2.0,4.0,4.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,8.0
11,315.0,5.0,6.0,9.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,6.0,6.0,2.0,7.0,4.0,0.0,4.0,7.0
12,273.0,4.0,8.0,4.0,8.0,6.0,4.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,7.0
13,277.0,6.0,2.0,6.0,11.0,4.0,6.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,6.0
14,212.0,12.0,4.0,7.0,8.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,0.0,1.0,6.0,4.0,0.0,0.0,8.0
15,191.0,2.0,6.0,11.0,8.0,6.0,4.0,0.0,5.0,6.0,2.0,4.0,6.0,2.0,0.0,4.0,9.0,2.0,1.0,12.0
16,151.0,5.0,6.0,1.0,4.0,10.0,4.0,6.0,6.0,0.0,5.0,8.0,8.0,0.0,8.0,6.0,5.0,4.0,3.0,13.0
17,122.0,9.0,8.0,8.0,8.0,11.0,6.0,6.0,3.0,2.0,6.0,16.0,8.0,4.0,3.0,11.0,2.0,2.0,7.0,17.0
18,88.0,3.0,10.0,11.0,11.0,12.0,6.0,22.0,2.0,4.0,14.0,11.0,8.0,10.0,18.0,20.0,8.0,22.0,16.0,44.0
19,68.0,2.0,8.0,3.0,4.0,8.0,16.0,9.0,24.0,25.0,16.0,13.0,18.0,15.0,17.0,15.0,21.0,38.0,29.0,140.0
