,0,1,2,3,4,5,6,7,8,9
0,12431.0,759.0,609.0,592.0,796.0,1177.0,2125.0,2278.0,1100.0,274.0
1,3146.0,661.0,680.0,531.0,890.0,2123.0,3222.0,3175.0,1791.0,552.0
2,453.0,89.0,128.0,190.0,209.0,309.0,370.0,339.0,260.0,136.0
3,317.0,103.0,113.0,122.0,148.0,142.0,167.0,139.0,121.0,64.0
4,212.0,93.0,74.0,64.0,112.0,99.0,151.0,111.0,68.0,42.0
5,280.0,63.0,52.0,58.0,80.0,67.0,79.0,96.0,37.0,42.0
6,268.0,64.0,51.0,45.0,79.0,57.0,54.0,44.0,19.0,6.0
7,275.0,48.0,48.0,25.0,33.0,35.0,48.0,15.0,32.0,2.0
8,343.0,51.0,24.0,22.0,22.0,21.0,14.0,11.0,4.0,0.0
9,695.0,51.0,34.0,20.0,14.0,6.0,8.0,0.0,1.0,0.0
