,0,1,2,3,4,5,6,7,8,9
0,930.0,140.0,143.0,378.0,695.0,985.0,2077.0,4887.0,9963.0,1943.0
1,53.0,125.0,222.0,443.0,613.0,1217.0,2526.0,4210.0,5010.0,2352.0
2,20.0,39.0,98.0,139.0,221.0,243.0,494.0,612.0,312.0,305.0
3,43.0,54.0,102.0,153.0,168.0,208.0,278.0,346.0,84.0,0.0
4,57.0,57.0,116.0,138.0,138.0,171.0,182.0,150.0,17.0,0.0
5,68.0,80.0,110.0,104.0,123.0,167.0,163.0,35.0,4.0,0.0
6,80.0,60.0,85.0,127.0,128.0,139.0,50.0,10.0,6.0,2.0
7,59.0,63.0,118.0,132.0,116.0,59.0,6.0,6.0,2.0,0.0
8,116.0,132.0,140.0,92.0,22.0,3.0,0.0,2.0,5.0,0.0
9,467.0,220.0,108.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0
