,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1171.0,314.0,308.0,218.0,251.0,270.0,325.0,341.0,439.0,434.0,491.0,623.0,846.0,999.0,1303.0,1934.0,3422.0,1963.0,1002.0,630.0
1,19.0,97.0,27.0,32.0,26.0,22.0,25.0,51.0,35.0,35.0,31.0,37.0,64.0,55.0,87.0,84.0,163.0,140.0,99.0,7.0
2,24.0,19.0,22.0,35.0,31.0,27.0,34.0,27.0,26.0,28.0,35.0,45.0,61.0,61.0,69.0,82.0,134.0,89.0,114.0,33.0
3,30.0,14.0,37.0,21.0,20.0,15.0,21.0,18.0,33.0,23.0,53.0,43.0,53.0,58.0,58.0,76.0,145.0,81.0,150.0,37.0
4,18.0,11.0,10.0,15.0,20.0,14.0,18.0,29.0,29.0,42.0,48.0,53.0,71.0,53.0,73.0,98.0,156.0,76.0,99.0,34.0
5,11.0,10.0,7.0,15.0,8.0,14.0,23.0,22.0,17.0,30.0,52.0,48.0,35.0,57.0,83.0,126.0,152.0,67.0,53.0,16.0
6,9.0,9.0,11.0,13.0,12.0,6.0,12.0,38.0,27.0,28.0,35.0,42.0,29.0,56.0,85.0,102.0,147.0,76.0,45.0,11.0
7,8.0,6.0,3.0,8.0,14.0,13.0,32.0,14.0,21.0,27.0,31.0,29.0,46.0,49.0,108.0,122.0,178.0,99.0,46.0,22.0
8,11.0,8.0,6.0,5.0,22.0,27.0,16.0,17.0,46.0,36.0,42.0,23.0,39.0,88.0,145.0,132.0,200.0,117.0,51.0,17.0
9,9.0,6.0,14.0,4.0,12.0,13.0,16.0,50.0,37.0,41.0,39.0,42.0,69.0,143.0,185.0,164.0,206.0,149.0,104.0,32.0
10,6.0,2.0,14.0,15.0,30.0,37.0,24.0,37.0,26.0,25.0,27.0,52.0,94.0,170.0,190.0,270.0,306.0,241.0,175.0,36.0
11,16.0,2.0,2.0,10.0,9.0,14.0,22.0,29.0,41.0,40.0,73.0,77.0,146.0,172.0,181.0,331.0,463.0,362.0,199.0,70.0
12,5.0,9.0,3.0,10.0,16.0,21.0,20.0,26.0,60.0,28.0,75.0,86.0,106.0,234.0,277.0,426.0,625.0,523.0,232.0,96.0
13,8.0,4.0,10.0,10.0,12.0,25.0,25.0,36.0,51.0,65.0,74.0,95.0,102.0,232.0,259.0,513.0,826.0,626.0,256.0,131.0
14,10.0,7.0,5.0,5.0,10.0,14.0,22.0,40.0,39.0,61.0,69.0,103.0,172.0,233.0,331.0,506.0,804.0,595.0,245.0,96.0
15,5.0,6.0,6.0,6.0,19.0,25.0,29.0,61.0,46.0,53.0,66.0,100.0,146.0,227.0,346.0,426.0,677.0,377.0,178.0,42.0
16,0.0,2.0,6.0,10.0,9.0,22.0,31.0,52.0,29.0,34.0,65.0,95.0,158.0,193.0,319.0,326.0,458.0,293.0,88.0,30.0
17,2.0,3.0,8.0,6.0,19.0,37.0,41.0,28.0,23.0,48.0,48.0,70.0,119.0,107.0,115.0,156.0,184.0,109.0,75.0,15.0
18,0.0,2.0,7.0,9.0,12.0,17.0,14.0,13.0,18.0,46.0,34.0,68.0,72.0,78.0,52.0,45.0,63.0,36.0,23.0,1.0
19,0.0,0.0,8.0,9.0,22.0,35.0,33.0,22.0,37.0,26.0,26.0,47.0,36.0,47.0,24.0,49.0,50.0,25.0,10.0,2.0
