,0,1,2,3,4,5,6,7,8,9
0,1175.0,502.0,271.0,133.0,89.0,62.0,38.0,44.0,37.0,29.0
1,2352.0,2599.0,1370.0,953.0,538.0,164.0,95.0,80.0,58.0,58.0
2,2315.0,2617.0,2294.0,2427.0,1756.0,744.0,258.0,172.0,87.0,82.0
3,643.0,971.0,1275.0,1942.0,2219.0,1292.0,480.0,190.0,153.0,124.0
4,74.0,233.0,445.0,1064.0,1542.0,1387.0,607.0,178.0,220.0,180.0
5,22.0,58.0,128.0,404.0,547.0,1608.0,1053.0,116.0,123.0,144.0
6,6.0,40.0,55.0,178.0,293.0,650.0,621.0,122.0,24.0,33.0
7,12.0,21.0,13.0,44.0,170.0,271.0,389.0,85.0,10.0,5.0
8,0.0,2.0,8.0,21.0,94.0,160.0,197.0,118.0,17.0,6.0
9,64.0,12.0,12.0,10.0,58.0,95.0,213.0,236.0,93.0,21.0
