,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,897.0,0.0,3.0,6.0,4.0,16.0,20.0,27.0,34.0,64.0,40.0,35.0,60.0,51.0,38.0,25.0,30.0,11.0,14.0,42.0
1,16.0,2.0,13.0,42.0,17.0,28.0,56.0,144.0,204.0,122.0,90.0,66.0,36.0,27.0,24.0,26.0,13.0,7.0,10.0,20.0
2,16.0,4.0,23.0,78.0,31.0,63.0,142.0,451.0,662.0,368.0,283.0,215.0,116.0,100.0,65.0,34.0,36.0,31.0,27.0,19.0
3,32.0,42.0,64.0,101.0,84.0,174.0,296.0,539.0,1025.0,965.0,612.0,502.0,392.0,260.0,181.0,99.0,50.0,28.0,36.0,21.0
4,71.0,38.0,71.0,70.0,92.0,173.0,225.0,326.0,823.0,1142.0,853.0,678.0,665.0,582.0,358.0,153.0,89.0,63.0,44.0,33.0
5,67.0,56.0,73.0,63.0,76.0,132.0,164.0,219.0,449.0,793.0,714.0,680.0,838.0,709.0,575.0,319.0,121.0,62.0,53.0,40.0
6,72.0,64.0,47.0,52.0,67.0,134.0,147.0,166.0,297.0,534.0,498.0,552.0,677.0,652.0,583.0,353.0,132.0,96.0,59.0,40.0
7,70.0,52.0,29.0,34.0,32.0,57.0,154.0,109.0,192.0,243.0,293.0,403.0,630.0,587.0,469.0,362.0,145.0,83.0,60.0,63.0
8,63.0,34.0,12.0,11.0,23.0,58.0,107.0,89.0,148.0,179.0,178.0,247.0,407.0,538.0,439.0,306.0,205.0,172.0,87.0,64.0
9,42.0,25.0,11.0,9.0,17.0,32.0,44.0,82.0,103.0,90.0,93.0,136.0,212.0,464.0,449.0,271.0,204.0,139.0,72.0,68.0
10,36.0,18.0,16.0,6.0,5.0,35.0,35.0,77.0,56.0,84.0,62.0,64.0,185.0,392.0,480.0,277.0,261.0,189.0,78.0,59.0
11,18.0,4.0,9.0,10.0,17.0,22.0,55.0,44.0,48.0,40.0,51.0,63.0,113.0,264.0,339.0,244.0,160.0,142.0,88.0,57.0
12,25.0,16.0,10.0,13.0,10.0,18.0,25.0,45.0,27.0,68.0,55.0,60.0,53.0,133.0,211.0,169.0,55.0,102.0,58.0,29.0
13,44.0,10.0,4.0,10.0,16.0,22.0,28.0,28.0,31.0,44.0,54.0,44.0,41.0,52.0,129.0,93.0,53.0,75.0,42.0,20.0
14,31.0,3.0,0.0,8.0,13.0,33.0,14.0,14.0,43.0,32.0,54.0,33.0,26.0,30.0,69.0,66.0,46.0,27.0,23.0,10.0
15,17.0,0.0,2.0,4.0,12.0,29.0,10.0,20.0,23.0,35.0,52.0,45.0,21.0,28.0,68.0,34.0,24.0,10.0,11.0,0.0
16,15.0,1.0,4.0,13.0,8.0,8.0,17.0,22.0,39.0,35.0,38.0,38.0,21.0,11.0,19.0,27.0,22.0,10.0,3.0,12.0
17,0.0,0.0,0.0,18.0,2.0,20.0,6.0,19.0,17.0,23.0,31.0,18.0,9.0,10.0,11.0,38.0,9.0,5.0,15.0,9.0
18,4.0,0.0,0.0,11.0,14.0,21.0,8.0,18.0,23.0,29.0,27.0,25.0,8.0,8.0,13.0,21.0,12.0,4.0,5.0,19.0
19,83.0,12.0,7.0,21.0,32.0,58.0,51.0,24.0,36.0,47.0,48.0,32.0,12.0,14.0,4.0,5.0,10.0,6.0,36.0,6.0
