,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,769.0,159.0,28.0,36.0,25.0,52.0,64.0,51.0,48.0,15.0,7.0,6.0,8.0,13.0,11.0,32.0,61.0,30.0,2.0,0.0
1,10.0,14.0,14.0,21.0,24.0,14.0,32.0,34.0,19.0,39.0,19.0,16.0,28.0,52.0,85.0,129.0,287.0,109.0,17.0,0.0
2,6.0,16.0,30.0,21.0,38.0,32.0,29.0,32.0,37.0,54.0,43.0,71.0,140.0,210.0,267.0,465.0,898.0,337.0,36.0,2.0
3,24.0,26.0,32.0,33.0,43.0,38.0,49.0,62.0,88.0,114.0,149.0,200.0,324.0,428.0,585.0,867.0,1542.0,718.0,175.0,6.0
4,28.0,45.0,42.0,36.0,45.0,83.0,96.0,111.0,144.0,188.0,233.0,275.0,380.0,511.0,666.0,959.0,1618.0,834.0,227.0,28.0
5,57.0,29.0,31.0,40.0,54.0,63.0,119.0,159.0,173.0,179.0,214.0,259.0,313.0,433.0,670.0,867.0,1346.0,862.0,305.0,30.0
6,70.0,61.0,55.0,50.0,98.0,89.0,75.0,102.0,144.0,140.0,146.0,192.0,248.0,370.0,491.0,653.0,1014.0,759.0,372.0,93.0
7,90.0,34.0,36.0,47.0,39.0,86.0,56.0,93.0,132.0,104.0,154.0,152.0,254.0,326.0,358.0,433.0,718.0,549.0,312.0,94.0
8,100.0,52.0,52.0,48.0,55.0,41.0,70.0,92.0,92.0,87.0,136.0,178.0,237.0,279.0,278.0,327.0,463.0,416.0,282.0,82.0
9,98.0,42.0,54.0,48.0,28.0,52.0,64.0,60.0,64.0,88.0,95.0,108.0,159.0,234.0,241.0,268.0,344.0,222.0,221.0,73.0
10,59.0,30.0,50.0,35.0,42.0,24.0,38.0,64.0,51.0,67.0,71.0,86.0,121.0,153.0,260.0,412.0,362.0,228.0,186.0,76.0
11,31.0,11.0,16.0,17.0,18.0,21.0,35.0,35.0,33.0,22.0,34.0,78.0,70.0,111.0,178.0,255.0,331.0,252.0,186.0,54.0
12,8.0,4.0,12.0,2.0,14.0,24.0,9.0,19.0,16.0,19.0,47.0,38.0,45.0,62.0,72.0,145.0,190.0,226.0,140.0,90.0
13,2.0,4.0,4.0,0.0,10.0,15.0,13.0,10.0,23.0,17.0,21.0,21.0,47.0,33.0,36.0,62.0,94.0,178.0,141.0,109.0
14,2.0,0.0,6.0,2.0,8.0,11.0,12.0,5.0,4.0,8.0,18.0,16.0,40.0,37.0,19.0,22.0,46.0,93.0,143.0,83.0
15,0.0,4.0,0.0,10.0,8.0,2.0,4.0,3.0,2.0,0.0,8.0,22.0,22.0,13.0,14.0,18.0,21.0,86.0,133.0,75.0
16,0.0,0.0,0.0,2.0,2.0,5.0,6.0,2.0,2.0,6.0,5.0,20.0,12.0,11.0,3.0,7.0,5.0,65.0,122.0,88.0
17,0.0,0.0,0.0,0.0,8.0,3.0,2.0,5.0,0.0,3.0,5.0,22.0,7.0,8.0,13.0,12.0,2.0,27.0,80.0,63.0
18,0.0,0.0,0.0,0.0,7.0,7.0,2.0,4.0,2.0,0.0,2.0,13.0,9.0,14.0,9.0,12.0,2.0,30.0,61.0,96.0
19,8.0,0.0,52.0,8.0,8.0,6.0,8.0,8.0,6.0,0.0,7.0,5.0,0.0,14.0,34.0,23.0,15.0,23.0,103.0,216.0
